Daily Mean data	    supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Bloomsbury",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-02-25,23,V ugm-3,43,V ugm-3,67,V ugm-3,134,V ugm-3,5,V ugm-3,0.17,V mgm-3,17,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-02-26,18,V ugm-3,23,V ugm-3,64,V ugm-3,98,V ugm-3,4,V ugm-3,0.24,V mgm-3,20,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-02-27,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2012-02-28,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2012-02-29,18,V ugm-3,9,V ugm-3,43,V ugm-3,57,V ugm-3,3,V ugm-3,0.16,V mgm-3,32,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-03-01,5,V ugm-3,59,V ugm-3,78,V ugm-3,168,V ugm-3,5,V ugm-3,0.32,V mgm-3,55,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),47,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS)
2012-03-02,2,V ugm-3,53,V ugm-3,67,V ugm-3,148,V ugm-3,7,V ugm-3,0.22,V mgm-3,62,V ugm-3 (TEOM FDMS),46,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),57,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS)
2012-03-03,26,V ugm-3,12,V ugm-3,49,V ugm-3,67,V ugm-3,3,V ugm-3,0.2,V mgm-3,36,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-03-04,31,V ugm-3,30,V ugm-3,56,V ugm-3,101,V ugm-3,3,V ugm-3,0.16,V mgm-3,15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-03-05,36,V ugm-3,32,V ugm-3,53,V ugm-3,102,V ugm-3,4,V ugm-3,0.16,V mgm-3,14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-03-06,18,V ugm-3,35,V ugm-3,65,V ugm-3,119,V ugm-3,4,V ugm-3,0.24,V mgm-3,22,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-03-07,28,V ugm-3,34,V ugm-3,60,V ugm-3,113,V ugm-3,4,V ugm-3,0.18,V mgm-3,16,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-03-08,21,V ugm-3,30,V ugm-3,72,V ugm-3,118,V ugm-3,6,V ugm-3,0.26,V mgm-3,21,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-03-09,27,V ugm-3,7,V ugm-3,56,V ugm-3,67,V ugm-3,2,V ugm-3,0.24,V mgm-3,20,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-03-10,18,V ugm-3,30,V ugm-3,58,V ugm-3,103,V ugm-3,2,V ugm-3,0.24,V mgm-3,20,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-03-11,13,V ugm-3,31,V ugm-3,57,V ugm-3,105,V ugm-3,3,V ugm-3,0.29,V mgm-3,26,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-03-12,2,V ugm-3,64,V ugm-3,58,V ugm-3,156,V ugm-3,4,V ugm-3,0.25,V mgm-3,37,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
