Daily Maximum data	   supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Bloomsbury",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-01-24,6,V ugm-3,122,V ugm-3,99,V ugm-3,277,V ugm-3,8,V ugm-3,0.58,V mgm-3,27,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-25,36,V ugm-3,25,V ugm-3,65,V ugm-3,98,V ugm-3,8,V ugm-3,0.35,V mgm-3,23,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-01-26,58,V ugm-3,36,V ugm-3,75,V ugm-3,122,V ugm-3,11,V ugm-3,0.35,V mgm-3,19,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-27,44,V ugm-3,55,V ugm-3,88,V ugm-3,164,V ugm-3,19,V ugm-3,0.47,V mgm-3,21,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-28,16,V ugm-3,100,V ugm-3,71,V ugm-3,214,V ugm-3,8,V ugm-3,0.23,V mgm-3,29,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-01-29,16,V ugm-3,74,V ugm-3,61,V ugm-3,166,V ugm-3,8,V ugm-3,0.47,V mgm-3,35,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-01-30,18,V ugm-3,97,V ugm-3,86,V ugm-3,224,V ugm-3,8,V ugm-3,3,V mgm-3,67,V ugm-3 (TEOM FDMS),61,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),43,V ugm-3 (TEOM FDMS),37,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-01-31,20,V ugm-3,146,V ugm-3,86,V ugm-3,296,V ugm-3,16,V ugm-3,0.58,V mgm-3,68,V ugm-3 (TEOM FDMS),61,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),72,V ugm-3 (TEOM FDMS),63,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS)
2012-02-01,34,V ugm-3,75,V ugm-3,82,V ugm-3,197,V ugm-3,5,V ugm-3,0.35,V mgm-3,46,V ugm-3 (TEOM FDMS),37,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),46,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-02-02,46,V ugm-3,72,V ugm-3,88,V ugm-3,199,V ugm-3,5,V ugm-3,0.35,V mgm-3,26,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-02-03,30,V ugm-3,142,V ugm-3,107,V ugm-3,308,V ugm-3,11,V ugm-3,0.58,V mgm-3,37,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-04,22,V ugm-3,133,V ugm-3,94,V ugm-3,298,V ugm-3,13,V ugm-3,0.58,V mgm-3,53,V ugm-3 (TEOM FDMS),43,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),49,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS)
2012-02-05,16,V ugm-3,79,V ugm-3,71,V ugm-3,191,V ugm-3,8,V ugm-3,0.35,V mgm-3,34,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-02-06,4,V ugm-3,140,V ugm-3,98,V ugm-3,312,V ugm-3,13,V ugm-3,0.58,V mgm-3,67,V ugm-3 (TEOM FDMS),57,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),45,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS)
2012-02-07,18,V ugm-3,146,V ugm-3,90,V ugm-3,314,V ugm-3,16,V ugm-3,No data,V mgm-3,54,V ugm-3 (TEOM FDMS),44,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),55,V ugm-3 (TEOM FDMS),42,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS)
2012-02-08,32,V ugm-3,90,V ugm-3,94,V ugm-3,231,V ugm-3,11,V ugm-3,0.35,V mgm-3,31,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-02-09,48,V ugm-3,180,V ugm-3,115,V ugm-3,390,V ugm-3,13,V ugm-3,0.7,V mgm-3,53,V ugm-3 (TEOM FDMS),47,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),45,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-02-10,24,V ugm-3,125,V ugm-3,92,V ugm-3,283,V ugm-3,19,V ugm-3,0.58,V mgm-3,46,V ugm-3 (TEOM FDMS),35,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),45,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS)
2012-02-11,24,V ugm-3,106,V ugm-3,111,V ugm-3,272,V ugm-3,8,V ugm-3,0.7,V mgm-3,75,V ugm-3 (TEOM FDMS),58,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),77,V ugm-3 (TEOM FDMS),58,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS)
2012-02-12,2,V ugm-3,145,V ugm-3,124,V ugm-3,339,V ugm-3,11,V ugm-3,0.81,V mgm-3,75,V ugm-3 (TEOM FDMS),56,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),77,V ugm-3 (TEOM FDMS),58,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS)
2012-02-13,20,V ugm-3,114,V ugm-3,99,V ugm-3,273,V ugm-3,13,V ugm-3,0.58,V mgm-3,34,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),39,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS)
2012-02-14,52,V ugm-3,140,V ugm-3,105,V ugm-3,319,V ugm-3,13,V ugm-3,0.47,V mgm-3,30,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-02-15,40,V ugm-3,123,V ugm-3,107,V ugm-3,296,V ugm-3,8,V ugm-3,0.35,V mgm-3,20,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-02-16,32,V ugm-3,96,V ugm-3,109,V ugm-3,239,V ugm-3,11,V ugm-3,0.35,V mgm-3,22,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-02-17,28,V ugm-3,55,V ugm-3,77,V ugm-3,159,V ugm-3,19,V ugm-3,0.23,V mgm-3,22,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-02-18,64,V ugm-3,60,V ugm-3,101,V ugm-3,191,V ugm-3,8,V ugm-3,0.47,V mgm-3,15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-02-19,40,V ugm-3,120,V ugm-3,107,V ugm-3,291,V ugm-3,11,V ugm-3,0.35,V mgm-3,22,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-02-20,50,V ugm-3,71,V ugm-3,92,V ugm-3,201,V ugm-3,11,V ugm-3,0.47,V mgm-3,24,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-02-21,48,V ugm-3,20,V ugm-3,63,V ugm-3,92,V ugm-3,8,V ugm-3,0.35,V mgm-3,18,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-02-22,56,V ugm-3,11,V ugm-3,55,V ugm-3,69,V ugm-3,8,V ugm-3,0.23,V mgm-3,19,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-02-23,28,V ugm-3,76,V ugm-3,86,V ugm-3,203,V ugm-3,13,V ugm-3,0.47,V mgm-3,26,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
