Daily Maximum data	   supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London N. Kensington",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-01-30,30,V ugm-3,66,V ugm-3,82,V ugm-3,180,V ugm-3,5,V ugm-3,0.47,V mgm-3,42,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-31,34,V ugm-3,77,V ugm-3,77,V ugm-3,189,V ugm-3,8,V ugm-3,0.58,V mgm-3,71,V ugm-3 (TEOM FDMS),63,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),65,V ugm-3 (TEOM FDMS),61,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-02-01,54,V ugm-3,27,V ugm-3,61,V ugm-3,103,V ugm-3,5,V ugm-3,0.35,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-02,62,V ugm-3,27,V ugm-3,69,V ugm-3,111,V ugm-3,3,V ugm-3,0.23,V mgm-3,27,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-02-03,50,V ugm-3,123,V ugm-3,101,V ugm-3,291,V ugm-3,8,V ugm-3,0.81,V mgm-3,54,V ugm-3 (TEOM FDMS),45,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-02-04,38,V ugm-3,203,V ugm-3,109,V ugm-3,417,V ugm-3,11,V ugm-3,0.93,V mgm-3,60,V ugm-3 (TEOM FDMS),48,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),56,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS)
2012-02-05,32,V ugm-3,65,V ugm-3,73,V ugm-3,172,V ugm-3,5,V ugm-3,0.47,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2012-02-06,4,V ugm-3,165,V ugm-3,99,V ugm-3,352,V ugm-3,11,V ugm-3,0.7,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2012-02-07,44,V ugm-3,107,V ugm-3,86,V ugm-3,251,V ugm-3,13,V ugm-3,0.7,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),52,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS)
2012-02-08,52,V ugm-3,14,V ugm-3,55,V ugm-3,73,V ugm-3,3,V ugm-3,0.47,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-02-09,56,V ugm-3,99,V ugm-3,98,V ugm-3,249,V ugm-3,5,V ugm-3,0.58,V mgm-3,67,V ugm-3 (TEOM FDMS),53,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),43,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS)
2012-02-10,30,V ugm-3,104,V ugm-3,90,V ugm-3,243,V ugm-3,11,V ugm-3,0.58,V mgm-3,51,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),44,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS)
2012-02-11,26,V ugm-3,135,V ugm-3,109,V ugm-3,296,V ugm-3,8,V ugm-3,0.93,V mgm-3,84,V ugm-3 (TEOM FDMS),66,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),80,V ugm-3 (TEOM FDMS),60,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS)
2012-02-12,16,V ugm-3,233,V ugm-3,119,V ugm-3,476,V ugm-3,11,V ugm-3,1.2,V mgm-3,90,V ugm-3 (TEOM FDMS),71,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),84,V ugm-3 (TEOM FDMS),63,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS)
2012-02-13,56,V ugm-3,138,V ugm-3,69,V ugm-3,279,V ugm-3,5,V ugm-3,0.58,V mgm-3,44,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),39,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS)
2012-02-14,66,V ugm-3,16,V ugm-3,59,V ugm-3,84,V ugm-3,3,V ugm-3,0.35,V mgm-3,46,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-15,58,V ugm-3,7,V ugm-3,36,V ugm-3,46,V ugm-3,3,V ugm-3,0.35,V mgm-3,28,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-02-16,62,V ugm-3,117,V ugm-3,94,V ugm-3,273,V ugm-3,5,V ugm-3,0.58,V mgm-3,31,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-02-17,40,V ugm-3,59,V ugm-3,71,V ugm-3,161,V ugm-3,13,V ugm-3,0.81,V mgm-3,30,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
