Site,Borough, Easting,Northing,GridRef,Lat,Lon
Naval Row,Tower Hamlets,538409.54,180777.92,TQ3840980777,51.508978,-0.006968968
Watney Market,Tower Hamlets,535013.3,181268.63,TQ3501381268,51.514211,-0.055685558
Westminster Bridge Road,Southwark,531433.63,179413.87,TQ3143379413,51.498385,-0.10793787
Regent's Row,Hackney,534472.95,183642.21,TQ3447283642,51.535674,-0.062571897
Gaywood Street,Southwark,531698.1,179160.02,TQ3169879160,51.496049,-0.10421681
Portman Square,Westminster,528097.06,181314.97,TQ2809781314,51.516234,-0.15528005
Green Park Station,Westminster,528986.85,180265.81,TQ2898680265,51.506604,-0.14285857
Wren Street,Camden,530775.83,182314.79,TQ3077582314,51.524607,-0.11633659
Kennington Station,Lambeth,531618.98,178352.05,TQ3161878352,51.488807,-0.1056696
Albany Street,Camden,528811.66,182678.29,TQ2881182678,51.528329,-0.1444976
Wellington Row,Tower Hamlets,533993.89,182800.53,TQ3399382800,51.528221,-0.069794
Whiston Road,Hackney,533522.67,183483.56,TQ3352283483,51.53447,-0.076320935
Thurtle Road,Hackney,533829.47,183521.29,TQ3382983521,51.534739,-0.071882981
Gloucester Avenue ,Camden,528600.53,183676.38,TQ2860083676,51.537346,-0.14717346
Percival Street,Islington,531748.78,182509.36,TQ3174882509,51.526134,-0.10224667
South Quay West,Tower Hamlets,537334.81,180033.02,TQ3733480033,51.502554,-0.022738823
Fishermans Walk West,Tower Hamlets,537311.19,180447.01,TQ3731180447,51.50628,-0.022908958
Jubilee Cresent,Tower Hamlets,538413.29,179050.35,TQ3841379050,51.493458,-0.007588362
Jubilee Street,Tower Hamlets,535181.29,181470.98,TQ3518181470,51.515986,-0.053188572
Philpot Street,Tower Hamlets,534813.56,181364.77,TQ3481381364,51.515122,-0.058529347
Millharbour,Tower Hamlets,537581.15,179321.03,TQ3758179321,51.496096,-0.019459829
Salmon Lane,Tower Hamlets,536531.78,181299.65,TQ3653181299,51.514125,-0.03381105
Lansdowne Walk,K&C,524690.16,180494.09,TQ2469080494,51.509626,-0.20464464
Fore Street,City,532626.75,181625.46,TQ3262681625,51.517984,-0.08993028
Driffield Road,Tower Hamlets,536233.12,183513.91,TQ3623383513,51.534093,-0.037247534
Burdett Road,Tower Hamlets,536849.48,181538.19,TQ3684981538,51.516196,-0.029138482
Westferry DLR Station,Tower Hamlets,537086.44,180770.66,TQ3708680770,51.509237,-0.026023411
Stepney Green Station,Tower Hamlets,535610.48,182132.8,TQ3561082132,51.521832,-0.046755249
Bell Lane,Tower Hamlets,533604.23,181594.69,TQ3360481594,51.517475,-0.075855185
Clinton Road,Tower Hamlets,536340.05,182609.21,TQ3634082609,51.525943,-0.036055475
Pott Street,Tower Hamlets,534821.22,182705.37,TQ3482182705,51.52717,-0.057901506
Hoxton Station,Hackney,533561.41,183108.23,TQ3356183108,51.531091,-0.075901093
Goldsmith's Row ,Hackney,534243.4,183212.75,TQ3424383212,51.531864,-0.06603539
Queen Mary's,Tower Hamlets,535981.17,182217.03,TQ3598182217,51.522507,-0.04137836
Twig Folly Bridge,Tower Hamlets,535868.4,183087.06,TQ3586883087,51.530352,-0.042670848
Bonny Street,Camden,529162.41,184164.56,TQ2916284164,51.541603,-0.13889595
Devons Road,Tower Hamlets,537755.63,182570.59,TQ3775582570,51.52525,-0.015686614
Newby Place,Tower Hamlets,538037.84,180757.83,TQ3803780757,51.508889,-0.012333702
Ford Road,Tower Hamlets,536526.95,183344.83,TQ3652683344,51.532503,-0.033091334
Bramham Gardens (Ext),K&C,525731.42,178354.02,TQ2573178354,51.490163,-0.19041407
Hansard Mews,K&C,523929.59,179821.95,TQ2392979821,51.503745,-0.21584098
Russell Gardens,K&C,524253.12,179422.45,TQ2425379422,51.500088,-0.21131568
Walmer Road,K&C,524214.8,180549.99,TQ2421480549,51.510225,-0.21148071
Manresa Road,K&C,527086.34,178024.38,TQ2708678024,51.486895,-0.17102652
Langdon Park,Tower Hamlets,537946.66,181497.43,TQ3794681497,51.515561,-0.013354839
Bancroft Road,Tower Hamlets,535577.1,182608.22,TQ3557782608,51.526118,-0.047047593
Castlehaven Road,Camden,528710.93,184212.77,TQ2871084212,51.542138,-0.14539251
Antill Road,Tower Hamlets,536235.45,182860.38,TQ3623582860,51.528224,-0.037471103
Palace Gardens Terrace (Ext),K&C,525446.83,180399.05,TQ2544680399,51.508605,-0.19379046
Sutton Street,Tower Hamlets,535166.31,180942.99,TQ3516680942,51.511245,-0.053606881
Bow Road Station,Tower Hamlets,537083.87,182753.64,TQ3708382753,51.527058,-0.025295985
Napier Avenue,Tower Hamlets,537459.94,178381.17,TQ3745978381,51.487679,-0.021581929
Vauxhall Walk,Lambeth,530561.71,178228.64,TQ3056178228,51.487937,-0.12093077
Fournier Street,Tower Hamlets,533697.13,181824.34,TQ3369781824,51.51952,-0.074428483
Red Lion Street,Camden,530775.76,181613.62,TQ3077581613,51.518308,-0.11659652
Canton Street,Tower Hamlets,537101.19,181035.64,TQ3710181035,51.511615,-0.025704452
St Johns Park,Tower Hamlets,538271.31,179392.73,TQ3827179392,51.496566,-0.009498627
Gunmakers Lane,Tower Hamlets,536498.82,183641.46,TQ3649883641,51.535179,-0.033379725
Bromley High Street,Tower Hamlets,537903.9,182963.6,TQ3790382963,51.528745,-0.013400887
Furze Green,Tower Hamlets,537382.97,181894.71,TQ3738281894,51.519266,-0.021323209
St Katharine’s Way,Tower Hamlets,534015.33,180291.98,TQ3401580291,51.505669,-0.070430189
Granby Street,Tower Hamlets,534018.68,182514.22,TQ3401882514,51.525645,-0.069542542
Reardon Street,Tower Hamlets,534826.75,180456.36,TQ3482680456,51.506959,-0.058689022
Coborn Street,Tower Hamlets,536851.14,182686.03,TQ3685182686,51.526512,-0.028664217
Bow Church Station,Tower Hamlets,537537.03,182889.77,TQ3753782889,51.528169,-0.01870257
Cephas Street,Tower Hamlets,535044.05,182198.73,TQ3504482198,51.522561,-0.054883046
Castalia Square,Tower Hamlets,538133.47,179565.14,TQ3813379565,51.498154,-0.011417663
The Green Bridge,Tower Hamlets,536374.91,182469.69,TQ3637482469,51.524677,-0.035619823
Wapping Lane,Tower Hamlets,534910.63,180219.55,TQ3491080219,51.504809,-0.057569994
Malmesbury Road,Tower Hamlets,536918.8,183023.78,TQ3691883023,51.529524,-0.027568137
Old Ford Road,Tower Hamlets,535490.46,183159.6,TQ3549083159,51.53109,-0.048089152
Christian Street,Tower Hamlets,534432.44,181127.04,TQ3443281127,51.513083,-0.064107068
Flamborough Street,Tower Hamlets,536173.77,181149.71,TQ3617381149,51.512864,-0.039024911
Albert Gardens,Tower Hamlets,535564.15,181179.98,TQ3556481179,51.51328,-0.047784097
Garnet Street,Tower Hamlets,535066.57,180629.53,TQ3506680629,51.508456,-0.055166809
Saunders Ness Road,Tower Hamlets,538321.88,178336.69,TQ3832178336,51.487065,-0.009192268
Spindrift Avenue,Tower Hamlets,537627.12,178765.56,TQ3762778765,51.491089,-0.019014221
Stebondale Street,Tower Hamlets,538317.54,178563.7,TQ3831778563,51.489106,-0.009160985
Thornfield House,Tower Hamlets,537241.69,180838.46,TQ3724180838,51.509811,-0.023764891
Mostyn Grove,Tower Hamlets,537058.09,183141.23,TQ3705883141,51.53055,-0.02550529
Southern Grove,Tower Hamlets,536724.1,182348.12,TQ3672482348,51.523505,-0.030624839
Cantrell Road,Tower Hamlets,537280.25,182147.36,TQ3728082147,51.521564,-0.022693906
Lindfield Street,Tower Hamlets,537458.18,181283.02,TQ3745881283,51.513757,-0.020466606
