Asked for under FOI,,,,,Additional data,,,,,
Date,Annual member hires using a key,Member hires made through the app,Casual hires at terminal,,24 hour members using a key,,,,,
11/09/2016," 6,438 "," 2,620 "," 27,342 ",," 2,425 ",,,,,
12/09/2016," 16,283 "," 3,797 "," 15,774 ",," 3,020 ",,,,,
13/09/2016," 17,326 "," 4,245 "," 17,839 ",," 3,666 ",,,,,
14/09/2016," 17,059 "," 4,625 "," 18,536 ",," 3,783 ",,,,,
15/09/2016," 17,028 "," 3,859 "," 17,294 ",," 3,522 ",,,,,
16/09/2016," 9,331 "," 2,022 "," 8,731 ",," 1,632 ",,,,,
17/09/2016," 6,454 "," 1,961 "," 16,608 ",," 1,849 ",,,,,
18/09/2016," 5,981 "," 1,922 "," 19,357 ",," 1,810 ",,,,,
19/09/2016," 14,997 "," 3,121 "," 12,251 ",," 2,355 ",,,,,
20/09/2016," 16,822 "," 3,722 "," 13,511 ",," 2,874 ",,,,,
21/09/2016," 17,054 "," 4,027 "," 15,526 ",," 3,196 ",,,,,
22/09/2016," 16,260 "," 3,725 "," 14,494 ",," 3,151 ",,,,,
23/09/2016," 15,187 "," 3,393 "," 16,540 ",," 2,948 ",,,,,
24/09/2016," 7,115 "," 2,227 "," 23,725 ",," 2,315 ",,,,,
25/09/2016," 5,936 "," 2,003 "," 19,689 ",," 1,754 ",,,,,
26/09/2016," 15,987 "," 3,427 "," 12,365 ",," 2,608 ",,,,,
27/09/2016," 16,447 "," 3,741 "," 12,389 ",," 2,778 ",,,,,
28/09/2016," 17,132 "," 4,144 "," 13,713 ",," 3,110 ",,,,,
29/09/2016," 15,828 "," 3,800 "," 11,829 ",," 2,685 ",,,,,
30/09/2016," 14,727 "," 3,506 "," 12,489 ",," 2,608 ",,,,,
01/10/2016," 4,899 "," 1,506 "," 10,019 ",, 990 ,,,,,
02/10/2016," 5,645 "," 1,992 "," 17,322 ",," 1,706 ",,,,,
03/10/2016," 15,881 "," 3,879 "," 12,783 ",," 2,645 ",,,,,
04/10/2016," 16,790 "," 4,063 "," 12,696 ",," 2,896 ",,,,,
05/10/2016," 16,685 "," 4,076 "," 11,968 ",," 2,864 ",,,,,
06/10/2016," 16,388 "," 3,867 "," 11,560 ",," 2,835 ",,,,,
07/10/2016," 14,726 "," 3,028 "," 12,194 ",," 2,758 ",,,,,
08/10/2016," 6,597 "," 1,877 "," 16,425 ",," 1,702 ",,,,,
09/10/2016," 5,523 "," 1,731 "," 15,998 ",," 1,564 ",,,,,
10/10/2016," 15,938 "," 3,477 "," 10,360 ",," 2,614 ",,,,,
11/10/2016," 16,904 "," 3,959 "," 11,042 ",," 2,674 ",,,,,
12/10/2016," 15,614 "," 3,735 "," 10,172 ",," 2,450 ",,,,,
13/10/2016," 14,932 "," 3,458 "," 9,419 ",," 2,478 ",,,,,
14/10/2016," 14,705 "," 3,330 "," 11,367 ",," 2,556 ",,,,,
15/10/2016," 5,764 "," 1,784 "," 14,195 ",," 1,488 ",,,,,
16/10/2016," 4,827 "," 1,500 "," 10,970 ",," 1,032 ",,,,,
17/10/2016," 14,181 "," 3,262 "," 8,853 ",," 2,150 ",,,,,
18/10/2016," 16,241 "," 3,583 "," 9,960 ",," 2,603 ",,,,,
19/10/2016," 16,294 "," 3,826 "," 10,479 ",," 2,703 ",,,,,
20/10/2016," 15,738 "," 3,498 "," 10,158 ",," 2,631 ",,,,,
21/10/2016," 14,112 "," 3,047 "," 10,656 ",," 2,395 ",,,,,
22/10/2016," 6,368 "," 1,887 "," 15,800 ",," 1,699 ",,,,,
23/10/2016," 5,553 "," 1,755 "," 14,624 ",," 1,339 ",,,,,
24/10/2016," 14,228 "," 3,350 "," 10,034 ",," 2,075 ",,,,,
25/10/2016," 15,472 "," 3,592 "," 11,194 ",," 2,373 ",,,,,
26/10/2016," 15,626 "," 3,676 "," 11,862 ",," 2,469 ",,,,,
27/10/2016," 15,323 "," 3,559 "," 12,133 ",," 2,479 ",,,,,
28/10/2016," 14,229 "," 2,722 "," 13,411 ",," 2,635 ",,,,,
29/10/2016," 6,544 "," 2,091 "," 17,348 ",," 1,521 ",,,,,
30/10/2016," 5,533 "," 1,728 "," 14,975 ",," 1,383 ",,,,,
31/10/2016," 15,949 "," 3,512 "," 12,137 ",," 2,473 ",,,,,
01/11/2016," 16,093 "," 3,596 "," 9,541 ",," 2,454 ",,,,,
02/11/2016," 16,099 "," 3,568 "," 9,503 ",," 2,499 ",,,,,
03/11/2016," 15,530 "," 3,518 "," 9,026 ",," 2,438 ",,,,,
04/11/2016," 11,500 "," 2,359 "," 6,187 ",," 1,611 ",,,,,
05/11/2016," 5,807 "," 1,616 "," 10,483 ",," 1,288 ",,,,,
06/11/2016," 4,258 "," 1,188 "," 6,934 ",, 851 ,,,,,
07/11/2016," 14,680 ", 182 ," 1,099 ",, 899 ,,,,,
08/11/2016," 14,925 "," 3,030 "," 5,821 ",," 2,016 ",,,,,
09/11/2016," 10,341 "," 2,119 "," 4,668 ",," 1,353 ",,,,,
10/11/2016," 14,246 "," 3,047 "," 6,305 ",," 1,932 ",,,,,
11/11/2016," 13,684 "," 2,875 "," 8,888 ",," 2,020 ",,,,,
12/11/2016," 3,639 ", 899 ," 4,308 ",, 542 ,,,,,
13/11/2016," 5,244 "," 1,517 "," 10,838 ",," 1,198 ",,,,,
14/11/2016," 13,788 "," 2,863 "," 5,955 ",," 1,731 ",,,,,
15/11/2016," 15,355 "," 3,413 "," 7,269 ",," 2,123 ",,,,,
16/11/2016," 14,526 "," 3,262 "," 7,233 ",," 2,061 ",,,,,
17/11/2016," 14,724 "," 3,255 "," 7,049 ",," 2,054 ",,,,,
18/11/2016," 13,703 "," 2,826 "," 7,763 ",," 1,969 ",,,,,
19/11/2016," 5,591 "," 1,436 "," 9,727 ",," 1,122 ",,,,,
20/11/2016," 3,953 ", 974 ," 4,799 ",, 731 ,,,,,
21/11/2016," 11,550 "," 2,173 "," 4,004 ",," 1,260 ",,,,,
22/11/2016," 15,176 "," 3,188 "," 6,673 ",," 2,027 ",,,,,
23/11/2016," 15,609 "," 3,287 "," 7,324 ",," 2,163 ",,,,,
24/11/2016," 15,187 "," 3,192 "," 7,025 ",," 2,178 ",,,,,
25/11/2016," 14,021 "," 2,656 "," 8,332 ",," 2,040 ",,,,,
26/11/2016," 5,953 "," 1,495 "," 10,777 ",," 1,104 ",,,,,
27/11/2016," 4,848 "," 1,361 "," 8,044 ",, 965 ,,,,,
28/11/2016," 15,006 "," 3,109 "," 6,453 ",," 1,827 ",,,,,
29/11/2016," 15,453 "," 2,997 "," 6,714 ",," 2,071 ",,,,,
30/11/2016," 14,868 "," 3,108 "," 6,516 ",," 2,050 ",,,,,
01/12/2016," 14,311 "," 2,869 "," 6,626 ",," 2,072 ",,,,,
02/12/2016," 13,668 "," 2,597 "," 7,419 ",," 1,972 ",,,,,
03/12/2016," 6,040 "," 1,503 "," 9,008 ",," 1,115 ",,,,,
04/12/2016," 4,950 "," 1,230 "," 7,901 ",," 1,010 ",,,,,
05/12/2016," 14,501 "," 2,905 "," 6,615 ",," 1,881 ",,,,,
06/12/2016," 15,374 "," 3,074 "," 7,114 ",," 2,194 ",,,,,
07/12/2016," 15,525 "," 3,243 "," 8,009 ",," 2,287 ",,,,,
08/12/2016," 14,949 "," 3,093 "," 7,682 ",," 2,269 ",,,,,
09/12/2016," 14,095 "," 3,096 "," 9,864 ",," 2,264 ",,,,,
10/12/2016," 5,115 "," 1,199 "," 7,331 ",, 995 ,,,,,
11/12/2016," 5,214 "," 1,421 "," 9,466 ",," 1,153 ",,,,,
12/12/2016," 14,230 "," 2,754 "," 6,146 ",," 1,814 ",,,,,
13/12/2016," 14,556 "," 2,984 "," 6,597 ",," 2,055 ",,,,,
14/12/2016," 14,967 "," 3,181 "," 8,069 ",," 2,314 ",,,,,
15/12/2016," 14,631 "," 3,054 "," 7,871 ",," 2,242 ",,,,,
16/12/2016," 13,413 "," 2,797 "," 8,876 ",," 2,130 ",,,,,
17/12/2016," 5,651 "," 1,547 "," 8,656 ",," 1,151 ",,,,,
18/12/2016," 4,631 "," 1,248 "," 7,928 ",, 970 ,,,,,
19/12/2016," 12,744 "," 2,474 "," 6,285 ",," 1,723 ",,,,,
20/12/2016," 13,036 "," 2,608 "," 6,957 ",," 1,926 ",,,,,
21/12/2016," 11,890 "," 2,515 "," 6,651 ",," 1,746 ",,,,,
22/12/2016," 10,367 "," 2,003 "," 7,156 ",," 1,672 ",,,,,
23/12/2016," 6,893 "," 1,288 "," 4,968 ",," 1,086 ",,,,,
24/12/2016," 2,562 ", 521 ," 4,170 ",, 495 ,,,,,
25/12/2016," 1,242 ", 752 ," 32,531 ",, 854 ,,,,,
26/12/2016," 1,528 ", 444 ," 8,957 ",, 401 ,,,,,
27/12/2016," 2,345 ", 601 ," 7,298 ",, 495 ,,,,,
28/12/2016," 4,434 ", 710 ," 6,347 ",, 757 ,,,,,
29/12/2016," 4,835 ", 998 ," 7,263 ",, 799 ,,,,,
30/12/2016," 4,410 ", 765 ," 5,525 ",, 714 ,,,,,
31/12/2016," 2,858 ", 670 ," 7,100 ",, 597 ,,,,,
01/01/2017," 1,266 ", 336 ," 4,454 ",, 239 ,,,,,
02/01/2017," 3,239 ", 861 ," 6,862 ",, 720 ,,,,,
03/01/2017," 11,006 "," 1,830 "," 4,979 ",," 1,356 ",,,,,
04/01/2017," 12,597 "," 2,389 "," 5,076 ",," 1,606 ",,,,,
05/01/2017," 13,125 "," 2,560 "," 5,745 ",," 1,592 ",,,,,
06/01/2017," 10,554 "," 2,012 "," 4,615 ",," 1,387 ",,,,,
07/01/2017," 5,007 "," 1,236 "," 6,498 ",, 826 ,,,,,
08/01/2017," 4,293 "," 1,138 "," 6,925 ",, 820 ,,,,,
09/01/2017," 14,102 "," 3,167 "," 17,028 ",," 2,842 ",,,,,
10/01/2017," 15,516 "," 3,017 "," 6,790 ",," 2,154 ",,,,,
11/01/2017," 15,314 "," 3,194 "," 6,904 ",," 2,237 ",,,,,
12/01/2017," 10,225 "," 1,917 "," 3,289 ",," 1,321 ",,,,,
13/01/2017," 12,010 "," 2,232 "," 4,737 ",," 1,534 ",,,,,
14/01/2017," 5,141 "," 1,163 "," 6,191 ",, 921 ,,,,,
15/01/2017," 2,957 ", 650 ," 2,601 ",, 368 ,,,,,
16/01/2017," 11,342 "," 2,034 "," 4,081 ",," 1,330 ",,,,,
17/01/2017," 15,522 "," 2,845 "," 6,226 ",," 2,107 ",,,,,
18/01/2017," 15,232 "," 2,993 "," 6,342 ",," 2,055 ",,,,,
19/01/2017," 14,965 "," 2,829 "," 6,303 ",," 2,120 ",,,,,
20/01/2017," 13,568 "," 2,539 "," 6,612 ",," 1,838 ",,,,,
21/01/2017," 5,733 "," 1,391 "," 8,910 ",," 1,074 ",,,,,
22/01/2017," 4,641 "," 1,180 "," 8,478 ",, 920 ,,,,,
23/01/2017," 13,704 "," 2,470 "," 5,044 ",," 1,582 ",,,,,
24/01/2017," 14,911 "," 2,914 "," 6,255 ",," 1,958 ",,,,,
25/01/2017," 14,426 "," 2,751 "," 5,669 ",," 1,830 ",,,,,
26/01/2017," 13,864 "," 2,651 "," 5,002 ",," 1,824 ",,,,,
27/01/2017," 12,595 "," 2,335 "," 6,310 ",," 1,660 ",,,,,
28/01/2017," 5,509 "," 1,319 "," 9,197 ",," 1,052 ",,,,,
29/01/2017," 3,139 ", 758 ," 4,426 ",, 526 ,,,,,
30/01/2017," 14,279 "," 2,592 "," 5,845 ",," 1,754 ",,,,,
31/01/2017," 13,204 "," 2,456 "," 4,866 ",," 1,616 ",,,,,
01/02/2017," 13,341 "," 2,396 "," 5,256 ",," 1,653 ",,,,,
02/02/2017," 14,497 "," 2,796 "," 5,872 ",," 1,865 ",,,,,
03/02/2017," 12,260 "," 2,349 "," 6,416 ",," 1,589 ",,,,,
04/02/2017," 5,505 "," 1,302 "," 9,061 ",, 977 ,,,,,
05/02/2017," 4,487 "," 1,192 "," 7,693 ",, 841 ,,,,,
06/02/2017," 13,747 "," 2,437 "," 5,848 ",," 1,699 ",,,,,
07/02/2017," 15,112 "," 2,932 "," 6,443 ",," 2,019 ",,,,,
08/02/2017," 14,806 "," 2,748 "," 5,632 ",," 1,947 ",,,,,
09/02/2017," 13,394 "," 2,564 "," 4,676 ",," 1,705 ",,,,,
10/02/2017," 11,018 "," 1,970 "," 3,932 ",," 1,307 ",,,,,
11/02/2017," 4,191 ", 871 ," 3,527 ",, 544 ,,,,,
12/02/2017," 3,964 ", 900 ," 4,542 ",, 588 ,,,,,
13/02/2017," 13,343 "," 2,411 "," 6,301 ",," 1,563 ",,,,,
14/02/2017," 13,926 "," 2,775 "," 7,586 ",," 1,762 ",,,,,
15/02/2017," 13,213 "," 2,586 "," 6,294 ",," 1,684 ",,,,,
16/02/2017," 13,478 "," 2,750 "," 8,092 ",," 1,720 ",,,,,
17/02/2017," 12,485 "," 2,240 "," 8,782 ",," 1,690 ",,,,,
18/02/2017," 5,785 "," 1,435 "," 12,344 ",," 1,164 ",,,,,
19/02/2017," 5,143 "," 1,325 "," 11,122 ",," 1,097 ",,,,,
20/02/2017," 15,118 "," 2,865 "," 8,150 ",," 1,911 ",,,,,
21/02/2017," 15,618 "," 2,915 "," 7,646 ",," 2,082 ",,,,,
22/02/2017," 14,771 "," 2,836 "," 7,155 ",," 1,939 ",,,,,
23/02/2017," 12,609 "," 2,212 "," 5,544 ",," 1,650 ",,,,,
24/02/2017," 13,490 "," 2,354 "," 8,458 ",," 1,865 ",,,,,
25/02/2017," 4,693 "," 1,134 "," 7,090 ",, 824 ,,,,,
26/02/2017," 4,516 "," 1,093 "," 8,139 ",, 821 ,,,,,
27/02/2017," 12,310 "," 1,922 "," 4,103 ",," 1,241 ",,,,,
28/02/2017," 14,367 "," 2,364 "," 5,716 ",," 1,751 ",,,,,
01/03/2017," 14,250 "," 1,444 "," 6,727 ",," 1,813 ",,,,,
02/03/2017," 14,822 "," 2,716 "," 6,860 ",," 1,936 ",,,,,
03/03/2017," 12,013 "," 2,107 "," 6,637 ",," 1,619 ",,,,,
04/03/2017," 6,049 "," 1,523 "," 12,295 ",," 1,182 ",,,,,
05/03/2017," 3,590 ", 820 ," 5,410 ",, 572 ,,,,,
06/03/2017," 15,041 "," 2,575 "," 6,913 ",," 1,760 ",,,,,
07/03/2017," 15,894 "," 2,934 "," 7,646 ",," 2,042 ",,,,,
08/03/2017," 13,783 "," 2,561 "," 5,971 ",," 1,680 ",,,,,
09/03/2017," 15,864 "," 3,092 "," 9,334 ",," 2,258 ",,,,,
10/03/2017," 14,081 "," 2,623 "," 8,719 ",," 2,024 ",,,,,
11/03/2017," 6,587 "," 1,862 "," 19,592 ",," 1,729 ",,,,,
12/03/2017," 4,503 "," 1,073 "," 9,189 ",, 732 ,,,,,
13/03/2017," 15,852 "," 3,136 "," 10,455 ",," 2,120 ",,,,,
14/03/2017," 16,469 "," 2,519 "," 8,725 ",," 2,487 ",,,,,
15/03/2017," 16,617 "," 3,047 "," 11,556 ",," 2,630 ",,,,,
16/03/2017," 15,999 "," 3,052 "," 9,834 ",," 2,302 ",,,,,
17/03/2017," 13,711 "," 2,594 "," 7,808 ",," 1,776 ",,,,,
18/03/2017," 5,860 ", 61 ," 1,312 ",, 216 ,,,,,
19/03/2017," 5,069 "," 1,376 "," 11,458 ",, 959 ,,,,,
20/03/2017," 13,740 "," 2,547 "," 5,671 ",," 1,652 ",,,,,
21/03/2017," 16,179 "," 3,126 "," 7,984 ",," 2,285 ",,,,,
22/03/2017," 13,198 "," 2,513 "," 5,803 ",," 1,767 ",,,,,
23/03/2017," 15,109 "," 2,756 "," 7,169 ",," 2,026 ",,,,,
24/03/2017," 13,847 "," 2,668 "," 8,512 ",," 1,942 ",,,,,
25/03/2017," 6,409 "," 1,828 "," 17,939 ",," 1,442 ",,,,,
26/03/2017," 5,335 "," 1,523 "," 15,427 ",," 1,188 ",,,,,
27/03/2017," 15,365 "," 2,968 "," 9,797 ",," 2,107 ",,,,,
28/03/2017," 16,344 "," 3,262 "," 9,677 ",," 2,380 ",,,,,
29/03/2017," 15,680 "," 3,006 "," 8,469 ",," 2,209 ",,,,,
30/03/2017," 15,956 "," 3,330 "," 11,713 ",," 2,457 ",,,,,
31/03/2017," 13,929 "," 2,885 "," 10,964 ",," 2,221 ",,,,,
01/04/2017," 6,483 "," 1,965 "," 17,634 ",," 1,494 ",,,,,
02/04/2017," 5,906 "," 1,737 "," 20,707 ",," 1,793 ",,,,,
03/04/2017," 15,413 "," 2,395 "," 13,187 ",," 2,499 ",,,,,
04/04/2017," 15,283 "," 2,335 "," 10,029 ",," 2,569 ",,,,,
05/04/2017," 15,380 "," 3,254 "," 12,031 ",," 2,575 ",,,,,
06/04/2017," 15,253 "," 3,335 "," 13,891 ",," 2,657 ",,,,,
07/04/2017," 13,699 "," 3,070 "," 15,298 ",," 2,459 ",,,,,
08/04/2017," 6,976 "," 2,457 "," 26,292 ",," 1,965 ",,,,,
09/04/2017," 6,208 "," 2,403 "," 30,622 ",," 1,920 ",,,,,
10/04/2017," 13,579 "," 3,093 "," 12,009 ",," 1,851 ",,,,,
11/04/2017," 15,119 "," 3,369 "," 13,846 ",," 2,304 ",,,,,
12/04/2017," 14,114 "," 3,354 "," 12,197 ",," 2,178 ",,,,,
13/04/2017," 12,381 "," 3,029 "," 12,281 ",," 1,971 ",,,,,
14/04/2017," 4,393 "," 1,478 "," 14,777 ",," 1,124 ",,,,,
15/04/2017," 4,157 "," 1,378 "," 17,375 ",," 1,084 ",,,,,
16/04/2017," 3,236 "," 1,117 "," 17,165 ",, 884 ,,,,,
17/04/2017," 4,380 "," 1,305 "," 13,059 ",, 940 ,,,,,
18/04/2017," 13,689 "," 3,115 "," 10,176 ",," 1,852 ",,,,,
19/04/2017," 15,315 "," 3,286 "," 10,853 ",," 2,380 ",,,,,
20/04/2017," 15,452 "," 3,376 "," 11,586 ",," 2,383 ",,,,,
21/04/2017," 13,917 "," 2,967 "," 11,684 ",," 2,191 ",,,,,
22/04/2017," 6,616 "," 2,223 "," 17,236 ",," 1,572 ",,,,,
23/04/2017," 6,160 "," 2,112 "," 18,096 ",," 1,677 ",,,,,
24/04/2017," 14,670 "," 3,137 "," 8,165 ",," 1,880 ",,,,,
25/04/2017," 16,331 "," 3,569 "," 9,434 ",," 2,365 ",,,,,
26/04/2017," 14,980 "," 3,171 "," 7,474 ",," 2,119 ",,,,,
27/04/2017," 14,140 "," 2,784 "," 7,284 ",," 2,010 ",,,,,
28/04/2017," 13,803 "," 3,006 "," 10,831 ",," 2,116 ",,,,,
29/04/2017," 5,866 "," 2,002 "," 18,349 ",," 1,545 ",,,,,
30/04/2017," 4,910 "," 1,785 "," 18,700 ",," 1,341 ",,,,,
01/05/2017," 4,638 "," 1,423 "," 11,064 ",," 1,003 ",,,,,
02/05/2017," 16,126 "," 3,415 "," 10,330 ",," 2,337 ",,,,,
03/05/2017," 14,409 "," 2,985 "," 7,271 ",," 1,934 ",,,,,
04/05/2017," 15,893 "," 3,529 "," 9,008 ",," 2,187 ",,,,,
05/05/2017," 14,709 "," 3,149 "," 10,755 ",," 2,110 ",,,,,
06/05/2017," 6,683 "," 2,106 "," 17,902 ",," 1,667 ",,,,,
07/05/2017," 6,215 "," 2,075 "," 18,082 ",," 1,466 ",,,,,
08/05/2017," 15,470 "," 3,330 "," 9,028 ",," 1,914 ",,,,,
09/05/2017," 16,605 "," 3,652 "," 9,757 ",," 2,439 ",,,,,
10/05/2017," 16,885 "," 3,943 "," 12,047 ",," 2,694 ",,,,,
11/05/2017," 16,058 "," 3,677 "," 10,950 ",," 2,486 ",,,,,
12/05/2017," 14,651 "," 3,372 "," 11,535 ",," 2,277 ",,,,,
13/05/2017," 6,760 "," 2,159 "," 18,268 ",," 1,619 ",,,,,
14/05/2017," 5,852 "," 2,144 "," 19,940 ",," 1,512 ",,,,,
15/05/2017," 13,272 "," 2,986 "," 7,464 ",," 1,656 ",,,,,
16/05/2017," 17,016 "," 3,948 "," 11,616 ",," 2,639 ",,,,,
17/05/2017," 10,381 "," 2,156 "," 4,831 ",," 1,227 ",,,,,
18/05/2017," 11,801 "," 2,656 "," 6,731 ",," 1,641 ",,,,,
19/05/2017," 13,402 "," 3,047 "," 9,678 ",," 1,924 ",,,,,
20/05/2017," 6,521 "," 2,133 "," 16,086 ",," 1,421 ",,,,,
21/05/2017," 6,424 "," 2,381 "," 22,331 ",," 1,656 ",,,,,
22/05/2017," 16,814 "," 4,234 "," 15,655 ",," 2,527 ",,,,,
23/05/2017," 17,175 "," 4,525 "," 13,974 ",," 2,701 ",,,,,
24/05/2017," 17,413 "," 4,658 "," 15,627 ",," 2,950 ",,,,,
25/05/2017," 16,820 "," 4,630 "," 18,056 ",," 2,905 ",,,,,
26/05/2017," 14,343 "," 4,076 "," 21,509 ",," 2,681 ",,,,,
27/05/2017," 5,907 "," 2,387 "," 24,229 ",," 1,669 ",,,,,
28/05/2017," 4,478 "," 1,880 "," 19,363 ",," 1,337 ",,,,,
29/05/2017," 5,567 "," 2,009 "," 16,977 ",," 1,250 ",,,,,
30/05/2017," 15,023 "," 4,229 "," 15,025 ",," 2,419 ",,,,,
31/05/2017," 15,789 "," 4,376 "," 15,311 ",," 2,613 ",,,,,
01/06/2017," 15,914 "," 4,467 "," 18,422 ",," 2,755 ",,,,,
02/06/2017," 13,298 "," 3,608 "," 14,555 ",," 2,097 ",,,,,
03/06/2017," 7,154 "," 2,906 "," 25,332 ",," 2,150 ",,,,,
04/06/2017," 5,924 "," 2,294 "," 20,357 ",," 1,505 ",,,,,
05/06/2017," 14,294 "," 3,582 "," 10,340 ",," 2,011 ",,,,,
06/06/2017," 8,571 "," 2,036 "," 5,220 ",," 1,120 ",,,,,
07/06/2017," 15,912 "," 4,099 "," 11,546 ",," 2,525 ",,,,,
08/06/2017," 15,116 "," 3,885 "," 10,762 ",," 2,283 ",,,,,
09/06/2017," 14,007 "," 3,777 "," 12,934 ",," 2,207 ",,,,,
10/06/2017," 6,817 "," 2,808 "," 23,975 ",," 2,043 ",,,,,
11/06/2017," 5,977 "," 2,461 "," 22,097 ",," 1,700 ",,,,,
12/06/2017," 15,841 "," 4,246 "," 13,017 ",," 2,248 ",,,,,
13/06/2017," 17,021 "," 4,903 "," 15,688 ",," 2,837 ",,,,,
14/06/2017," 17,539 "," 5,004 "," 18,049 ",," 3,207 ",,,,,
15/06/2017," 16,742 "," 4,733 "," 16,923 ",," 2,832 ",,,,,
16/06/2017," 15,091 "," 4,350 "," 17,317 ",," 2,622 ",,,,,
17/06/2017," 7,302 "," 3,183 "," 27,862 ",," 2,206 ",,,,,
18/06/2017," 6,539 "," 2,890 "," 26,212 ",," 1,885 ",,,,,
19/06/2017," 16,227 "," 4,301 "," 17,345 ",," 2,747 ",,,,,
20/06/2017," 16,794 "," 5,098 "," 17,565 ",," 2,785 ",,,,,
21/06/2017," 16,545 "," 5,230 "," 18,212 ",," 2,923 ",,,,,
22/06/2017," 16,076 "," 4,668 "," 15,219 ",," 2,853 ",,,,,
23/06/2017," 14,622 "," 4,451 "," 17,397 ",," 2,638 ",,,,,
24/06/2017," 6,301 "," 2,449 "," 19,204 ",," 1,548 ",,,,,
25/06/2017," 5,768 "," 2,384 "," 20,527 ",," 1,543 ",,,,,
26/06/2017," 15,719 "," 4,723 "," 18,084 ",," 2,626 ",,,,,
27/06/2017," 11,240 "," 3,131 "," 7,675 ",," 1,544 ",,,,,
28/06/2017," 14,851 "," 3,957 "," 11,224 ",," 2,241 ",,,,,
29/06/2017," 15,716 "," 4,682 "," 14,255 ",," 2,623 ",,,,,
30/06/2017," 14,274 "," 4,443 "," 18,124 ",," 2,569 ",,,,,
01/07/2017," 6,355 "," 2,796 "," 24,417 ",," 1,769 ",,,,,
02/07/2017," 6,268 "," 2,905 "," 30,515 ",," 2,059 ",,,,,
03/07/2017," 15,665 "," 4,138 "," 16,605 ",," 2,634 ",,,,,
04/07/2017," 17,047 "," 4,175 "," 18,041 ",," 3,524 ",,,,,
05/07/2017," 17,163 "," 3,977 "," 19,932 ",," 3,873 ",,,,,
06/07/2017," 16,722 "," 3,553 "," 19,050 ",," 3,996 ",,,,,
07/07/2017," 15,137 "," 3,347 "," 20,385 ",," 3,572 ",,,,,
08/07/2017," 6,968 "," 1,899 "," 27,223 ",," 2,908 ",,,,,
09/07/2017," 6,496 "," 1,701 "," 26,821 ",," 2,804 ",,,,,
10/07/2017," 15,829 "," 3,682 "," 17,368 ",," 3,327 ",,,,,
11/07/2017," 11,645 "," 3,400 "," 8,567 ",," 1,745 ",,,,,
12/07/2017," 14,944 "," 4,802 "," 15,253 ",," 2,628 ",,,,,
13/07/2017," 15,847 "," 5,004 "," 17,330 ",," 2,905 ",,,,,
14/07/2017," 13,773 "," 4,260 "," 17,321 ",," 2,676 ",,,,,
15/07/2017," 5,953 "," 2,634 "," 19,629 ",," 1,638 ",,,,,
16/07/2017," 5,718 "," 2,643 "," 20,856 ",," 1,557 ",,,,,
17/07/2017," 15,567 "," 4,579 "," 17,934 ",," 2,641 ",,,,,
18/07/2017," 16,161 "," 4,867 "," 16,749 ",," 3,044 ",,,,,
19/07/2017," 15,491 "," 5,144 "," 15,127 ",," 2,631 ",,,,,
20/07/2017," 14,781 "," 4,682 "," 14,411 ",," 2,437 ",,,,,
21/07/2017," 13,516 "," 4,316 "," 16,777 ",," 2,469 ",,,,,
22/07/2017," 4,224 "," 1,538 "," 9,236 ",," 1,007 ",,,,,
23/07/2017," 5,287 "," 2,261 "," 16,829 ",," 1,446 ",,,,,
24/07/2017," 13,282 "," 3,966 "," 12,733 ",," 1,875 ",,,,,
25/07/2017," 15,440 "," 4,896 "," 17,218 ",," 2,559 ",,,,,
26/07/2017," 14,119 "," 4,071 "," 12,442 ",," 2,190 ",,,,,
27/07/2017," 13,446 "," 4,090 "," 12,350 ",," 1,966 ",,,,,
28/07/2017," 12,505 "," 3,849 "," 13,702 ",," 1,991 ",,,,,
29/07/2017," 4,558 "," 2,073 "," 14,354 ",," 1,383 ",,,,,
30/07/2017," 5,415 "," 2,652 "," 21,357 ",," 1,639 ",,,,,
31/07/2017," 14,185 "," 4,532 "," 16,574 ",," 2,268 ",,,,,
01/08/2017," 14,859 "," 4,819 "," 16,659 ",," 2,368 ",,,,,
02/08/2017," 11,953 "," 3,738 "," 8,927 ",," 1,743 ",,,,,
03/08/2017," 13,885 "," 4,413 "," 12,950 ",," 2,087 ",,,,,
04/08/2017," 12,329 "," 3,926 "," 15,525 ",," 2,127 ",,,,,
05/08/2017," 5,305 "," 2,308 "," 17,691 ",," 1,510 ",,,,,
06/08/2017," 5,256 "," 2,434 "," 21,042 ",," 1,628 ",,,,,
07/08/2017," 12,774 "," 3,840 "," 12,852 ",," 1,908 ",,,,,
08/08/2017," 13,919 "," 4,190 "," 12,758 ",," 2,064 ",,,,,
09/08/2017," 5,874 "," 1,543 "," 3,113 ",, 652 ,,,,,
10/08/2017," 13,596 "," 4,200 "," 14,531 ",," 2,282 ",,,,,
11/08/2017," 12,234 "," 3,776 "," 15,363 ",," 2,078 ",,,,,
12/08/2017," 5,838 "," 2,566 "," 19,967 ",," 1,595 ",,,,,
13/08/2017," 5,404 "," 2,590 "," 23,859 ",," 1,707 ",,,,,
14/08/2017," 13,230 "," 4,176 "," 15,497 ",," 1,985 ",,,,,
15/08/2017," 13,884 "," 4,389 "," 16,417 ",," 2,390 ",,,,,
16/08/2017," 13,988 "," 4,396 "," 15,346 ",," 2,308 ",,,,,
17/08/2017," 12,329 "," 3,884 "," 12,806 ",," 2,002 ",,,,,
18/08/2017," 10,955 "," 3,321 "," 11,390 ",," 1,765 ",,,,,
