Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,CO,25/10/2012 00:00,,mg m-3,R
BL0,CO,26/10/2012 00:00,,mg m-3,R
BL0,CO,27/10/2012 00:00,,mg m-3,R
BL0,CO,28/10/2012 00:00,,mg m-3,R
BL0,CO,29/10/2012 00:00,,mg m-3,R
BL0,CO,30/10/2012 00:00,,mg m-3,R
BL0,CO,31/10/2012 00:00,,mg m-3,R
BL0,CO,01/11/2012 00:00,,mg m-3,R
BL0,CO,02/11/2012 00:00,,mg m-3,R
BL0,CO,03/11/2012 00:00,,mg m-3,R
BL0,CO,04/11/2012 00:00,,mg m-3,R
BL0,CO,05/11/2012 00:00,,mg m-3,R
BL0,CO,06/11/2012 00:00,,mg m-3,R
BL0,CO,07/11/2012 00:00,,mg m-3,R
BL0,CO,08/11/2012 00:00,,mg m-3,R
BL0,CO,09/11/2012 00:00,,mg m-3,R
BL0,CO,10/11/2012 00:00,,mg m-3,R
BL0,CO,11/11/2012 00:00,,mg m-3,R
BL0,CO,12/11/2012 00:00,,mg m-3,R
BL0,CO,13/11/2012 00:00,,mg m-3,R
BL0,CO,14/11/2012 00:00,,mg m-3,R
BL0,CO,15/11/2012 00:00,,mg m-3,R
BL0,CO,16/11/2012 00:00,,mg m-3,R
BL0,CO,17/11/2012 00:00,,mg m-3,R
BL0,CO,18/11/2012 00:00,,mg m-3,R
BL0,CO,19/11/2012 00:00,,mg m-3,R
BL0,CO,20/11/2012 00:00,,mg m-3,R
BL0,CO,21/11/2012 00:00,,mg m-3,R
BL0,CO,22/11/2012 00:00,,mg m-3,R
BL0,CO,23/11/2012 00:00,,mg m-3,R
BL0,CO,24/11/2012 00:00,,mg m-3,R
BL0,CO,25/11/2012 00:00,,mg m-3,R
BL0,CO,26/11/2012 00:00,,mg m-3,R
BL0,CO,27/11/2012 00:00,,mg m-3,R
BL0,CO,28/11/2012 00:00,,mg m-3,R
BL0,CO,29/11/2012 00:00,,mg m-3,R
BL0,CO,30/11/2012 00:00,,mg m-3,R
BL0,CO,01/12/2012 00:00,,mg m-3,R
BL0,CO,02/12/2012 00:00,,mg m-3,R
BL0,CO,03/12/2012 00:00,,mg m-3,R
BL0,CO,04/12/2012 00:00,,mg m-3,R
BL0,CO,05/12/2012 00:00,,mg m-3,R
BL0,CO,06/12/2012 00:00,,mg m-3,R
BL0,CO,07/12/2012 00:00,,mg m-3,R
BL0,CO,08/12/2012 00:00,,mg m-3,R
BL0,CO,09/12/2012 00:00,,mg m-3,R
BL0,CO,10/12/2012 00:00,,mg m-3,R
BL0,CO,11/12/2012 00:00,,mg m-3,R
BL0,CO,12/12/2012 00:00,,mg m-3,R
BL0,CO,13/12/2012 00:00,,mg m-3,R
