Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HK6,NO,14/06/2012 00:00,42,ug m-3,R
HK6,NO,15/06/2012 00:00,35.6,ug m-3,R
HK6,NO,16/06/2012 00:00,21.6,ug m-3,R
HK6,NO,17/06/2012 00:00,21.4,ug m-3,R
HK6,NO,18/06/2012 00:00,56.3,ug m-3,R
HK6,NO,19/06/2012 00:00,62.9,ug m-3,R
HK6,NO,20/06/2012 00:00,49.9,ug m-3,R
HK6,NO,21/06/2012 00:00,32.1,ug m-3,R
HK6,NO,22/06/2012 00:00,26.9,ug m-3,R
HK6,NO,23/06/2012 00:00,29,ug m-3,R
HK6,NO,24/06/2012 00:00,34.5,ug m-3,R
HK6,NO,25/06/2012 00:00,63.1,ug m-3,R
HK6,NO,26/06/2012 00:00,42.5,ug m-3,R
HK6,NO,27/06/2012 00:00,62.6,ug m-3,R
HK6,NO,28/06/2012 00:00,40.4,ug m-3,R
HK6,NO,29/06/2012 00:00,31.1,ug m-3,R
HK6,NO,30/06/2012 00:00,24.4,ug m-3,R
HK6,NO,01/07/2012 00:00,23.9,ug m-3,R
HK6,NO,02/07/2012 00:00,30.5,ug m-3,R
HK6,NO,03/07/2012 00:00,37.7,ug m-3,R
HK6,NO,04/07/2012 00:00,41.3,ug m-3,R
HK6,NO,05/07/2012 00:00,49.5,ug m-3,R
HK6,NO,06/07/2012 00:00,52.8,ug m-3,R
HK6,NO,07/07/2012 00:00,26.2,ug m-3,R
HK6,NO,08/07/2012 00:00,32.6,ug m-3,R
HK6,NO,09/07/2012 00:00,53.4,ug m-3,R
HK6,NO,10/07/2012 00:00,51.3,ug m-3,R
HK6,NO,11/07/2012 00:00,68.7,ug m-3,R
HK6,NO,12/07/2012 00:00,66.7,ug m-3,R
HK6,NO,13/07/2012 00:00,49.4,ug m-3,R
HK6,NO,14/07/2012 00:00,53.2,ug m-3,R
HK6,NO,15/07/2012 00:00,60.2,ug m-3,R
HK6,NO,16/07/2012 00:00,41.2,ug m-3,R
HK6,NO,17/07/2012 00:00,67.9,ug m-3,R
HK6,NO,18/07/2012 00:00,41.1,ug m-3,R
HK6,NO,19/07/2012 00:00,69.5,ug m-3,R
HK6,NO,20/07/2012 00:00,63.8,ug m-3,R
HK6,NO,21/07/2012 00:00,33.1,ug m-3,R
HK6,NO,22/07/2012 00:00,23.7,ug m-3,R
HK6,NO,23/07/2012 00:00,33.6,ug m-3,R
HK6,NO,24/07/2012 00:00,53.9,ug m-3,R
HK6,NO,25/07/2012 00:00,48,ug m-3,R
HK6,NO,26/07/2012 00:00,38.4,ug m-3,R
HK6,NO,27/07/2012 00:00,39.8,ug m-3,R
HK6,NO,28/07/2012 00:00,52.5,ug m-3,R
HK6,NO,29/07/2012 00:00,45.5,ug m-3,R
HK6,NO,30/07/2012 00:00,48.2,ug m-3,R
HK6,NO,31/07/2012 00:00,41.9,ug m-3,R
HK6,NO,01/08/2012 00:00,37.6,ug m-3,R
HK6,NO,02/08/2012 00:00,34.2,ug m-3,R
HK6,NO,03/08/2012 00:00,36.4,ug m-3,R
HK6,NO,04/08/2012 00:00,32,ug m-3,R
HK6,NO,05/08/2012 00:00,42.9,ug m-3,R
HK6,NO,06/08/2012 00:00,55.6,ug m-3,R
HK6,NO,07/08/2012 00:00,54.8,ug m-3,R
HK6,NO,08/08/2012 00:00,66.1,ug m-3,R
HK6,NO,09/08/2012 00:00,52.3,ug m-3,R
HK6,NO,10/08/2012 00:00,60.7,ug m-3,R
HK6,NO,11/08/2012 00:00,29.8,ug m-3,R
HK6,NO,12/08/2012 00:00,26.8,ug m-3,R
HK6,NO,13/08/2012 00:00,37.6,ug m-3,R
HK6,NO,14/08/2012 00:00,34,ug m-3,R
HK6,NO,15/08/2012 00:00,38.1,ug m-3,R
HK6,NO,16/08/2012 00:00,33.7,ug m-3,R
HK6,NO,17/08/2012 00:00,32.2,ug m-3,R
HK6,NO,18/08/2012 00:00,41,ug m-3,R
HK6,NO,19/08/2012 00:00,34.9,ug m-3,R
HK6,NO,20/08/2012 00:00,47.9,ug m-3,R
HK6,NO,21/08/2012 00:00,67.1,ug m-3,R
HK6,NO,22/08/2012 00:00,53,ug m-3,R
HK6,NO,23/08/2012 00:00,50.6,ug m-3,R
HK6,NO,24/08/2012 00:00,34,ug m-3,R
HK6,NO,25/08/2012 00:00,35.1,ug m-3,R
HK6,NO,26/08/2012 00:00,40.6,ug m-3,R
HK6,NO,27/08/2012 00:00,17.8,ug m-3,R
HK6,NO,28/08/2012 00:00,42.1,ug m-3,R
HK6,NO,29/08/2012 00:00,35.4,ug m-3,R
HK6,NO,30/08/2012 00:00,41.7,ug m-3,R
HK6,NO,31/08/2012 00:00,74.6,ug m-3,R
HK6,NO,01/09/2012 00:00,50.7,ug m-3,R
HK6,NO,02/09/2012 00:00,48.3,ug m-3,R
HK6,NO,03/09/2012 00:00,73.4,ug m-3,R
HK6,NO,04/09/2012 00:00,84.9,ug m-3,R
HK6,NO,05/09/2012 00:00,32.3,ug m-3,R
HK6,NO,06/09/2012 00:00,64.8,ug m-3,R
HK6,NO,07/09/2012 00:00,112.8,ug m-3,R
HK6,NO,08/09/2012 00:00,76.9,ug m-3,R
HK6,NO,09/09/2012 00:00,52.9,ug m-3,R
HK6,NO,10/09/2012 00:00,32.5,ug m-3,R
HK6,NO,11/09/2012 00:00,73.9,ug m-3,R
HK6,NO,12/09/2012 00:00,68.2,ug m-3,R
HK6,NO,13/09/2012 00:00,64.5,ug m-3,R
HK6,NO,14/09/2012 00:00,73.3,ug m-3,R
HK6,NO,15/09/2012 00:00,76.4,ug m-3,R
HK6,NO,16/09/2012 00:00,32.2,ug m-3,R
HK6,NO,17/09/2012 00:00,56.8,ug m-3,R
HK6,NO,18/09/2012 00:00,74.1,ug m-3,R
HK6,NO,19/09/2012 00:00,108,ug m-3,R
HK6,NO,20/09/2012 00:00,57.1,ug m-3,R
HK6,NO,21/09/2012 00:00,84.6,ug m-3,R
HK6,NO,22/09/2012 00:00,38.7,ug m-3,R
HK6,NO,23/09/2012 00:00,32.3,ug m-3,R
HK6,NO,24/09/2012 00:00,54,ug m-3,R
HK6,NO,25/09/2012 00:00,43.3,ug m-3,R
HK6,NO,26/09/2012 00:00,59.4,ug m-3,R
HK6,NO,27/09/2012 00:00,87.8,ug m-3,R
HK6,NO,28/09/2012 00:00,61.2,ug m-3,R
HK6,NO,29/09/2012 00:00,102.3,ug m-3,R
