Date,Start hour,Casual hires at terminal
18/01/2012,7,100
18/01/2012,8,225
18/01/2012,9,139
18/01/2012,10,115
18/01/2012,11,120
18/01/2012,12,156
18/01/2012,13,166
18/01/2012,14,149
18/01/2012,15,158
18/01/2012,16,28
18/01/2012,17,66
18/01/2012,18,289
18/01/2012,19,202
18/01/2012,20,152
18/01/2012,21,35
18/01/2012,22,20
18/01/2012,23,87
19/01/2012,0,53
19/01/2012,1,41
19/01/2012,2,17
19/01/2012,3,16
19/01/2012,4,11
19/01/2012,5,2
19/01/2012,6,17
19/01/2012,7,38
19/01/2012,8,95
19/01/2012,9,96
19/01/2012,10,101
19/01/2012,11,109
19/01/2012,12,154
19/01/2012,13,213
19/01/2012,14,181
19/01/2012,15,222
19/01/2012,16,267
19/01/2012,17,285
19/01/2012,18,276
19/01/2012,19,178
19/01/2012,20,115
19/01/2012,21,83
19/01/2012,22,35
19/01/2012,23,3
20/01/2012,0,31
20/01/2012,1,30
20/01/2012,2,16
20/01/2012,3,22
20/01/2012,4,13
20/01/2012,5,13
20/01/2012,6,27
20/01/2012,7,98
20/01/2012,8,273
20/01/2012,9,206
20/01/2012,10,128
20/01/2012,11,122
20/01/2012,12,139
20/01/2012,13,127
20/01/2012,14,133
20/01/2012,15,199
20/01/2012,16,216
20/01/2012,17,313
20/01/2012,18,284
20/01/2012,19,202
20/01/2012,20,192
20/01/2012,21,142
20/01/2012,22,137
20/01/2012,23,157
21/01/2012,0,127
21/01/2012,1,138
21/01/2012,2,139
21/01/2012,3,107
21/01/2012,4,56
21/01/2012,5,22
21/01/2012,6,18
21/01/2012,7,27
21/01/2012,8,50
21/01/2012,9,146
21/01/2012,10,273
21/01/2012,11,366
21/01/2012,12,352
21/01/2012,13,497
21/01/2012,14,644
21/01/2012,15,647
21/01/2012,16,550
21/01/2012,17,329
21/01/2012,18,197
21/01/2012,19,205
21/01/2012,20,190
21/01/2012,21,160
21/01/2012,22,168
21/01/2012,23,146
22/01/2012,0,170
22/01/2012,1,154
22/01/2012,2,141
22/01/2012,3,101
22/01/2012,4,69
22/01/2012,5,34
22/01/2012,6,50
22/01/2012,7,26
22/01/2012,8,45
22/01/2012,9,143
22/01/2012,10,292
22/01/2012,11,438
22/01/2012,12,574
22/01/2012,13,643
22/01/2012,14,601
22/01/2012,15,694
22/01/2012,16,538
22/01/2012,17,287
22/01/2012,18,264
22/01/2012,19,190
22/01/2012,20,157
22/01/2012,21,142
22/01/2012,22,122
22/01/2012,23,95
23/01/2012,0,89
23/01/2012,1,21
23/01/2012,2,24
23/01/2012,3,15
23/01/2012,4,10
23/01/2012,5,9
23/01/2012,6,28
23/01/2012,7,91
23/01/2012,8,265
23/01/2012,9,191
23/01/2012,10,146
23/01/2012,11,171
23/01/2012,12,170
23/01/2012,13,210
23/01/2012,14,199
23/01/2012,15,244
23/01/2012,16,257
23/01/2012,17,307
23/01/2012,18,307
23/01/2012,19,187
23/01/2012,20,143
23/01/2012,21,98
23/01/2012,22,89
23/01/2012,23,71
24/01/2012,0,60
24/01/2012,1,36
24/01/2012,2,22
24/01/2012,3,16
24/01/2012,4,11
24/01/2012,5,11
24/01/2012,6,32
24/01/2012,7,87
24/01/2012,8,141
24/01/2012,9,81
24/01/2012,10,43
24/01/2012,11,35
24/01/2012,12,46
24/01/2012,13,74
24/01/2012,14,89
24/01/2012,15,102
24/01/2012,16,134
24/01/2012,17,205
24/01/2012,18,216
24/01/2012,19,163
24/01/2012,20,109
24/01/2012,21,101
24/01/2012,22,5
24/01/2012,23,1
25/01/2012,0,62
25/01/2012,1,25
25/01/2012,2,22
25/01/2012,3,18
25/01/2012,4,14
25/01/2012,5,17
25/01/2012,6,35
25/01/2012,7,102
25/01/2012,8,259
25/01/2012,9,194
25/01/2012,10,156
25/01/2012,11,147
25/01/2012,12,191
25/01/2012,13,236
25/01/2012,14,211
25/01/2012,15,253
25/01/2012,16,253
25/01/2012,17,296
25/01/2012,18,331
25/01/2012,19,212
25/01/2012,20,129
25/01/2012,21,124
25/01/2012,22,127
25/01/2012,23,94
26/01/2012,0,54
26/01/2012,1,33
26/01/2012,2,19
26/01/2012,3,22
26/01/2012,4,16
26/01/2012,5,12
26/01/2012,6,35
26/01/2012,7,83
26/01/2012,8,246
26/01/2012,9,205
26/01/2012,10,159
26/01/2012,11,130
26/01/2012,12,210
26/01/2012,13,268
26/01/2012,14,225
26/01/2012,15,217
26/01/2012,16,244
26/01/2012,17,328
26/01/2012,18,318
26/01/2012,19,176
26/01/2012,20,129
26/01/2012,21,92
26/01/2012,22,73
26/01/2012,23,75
27/01/2012,0,63
27/01/2012,1,37
27/01/2012,2,55
27/01/2012,3,26
27/01/2012,4,27
27/01/2012,5,14
27/01/2012,6,34
27/01/2012,7,95
27/01/2012,8,285
27/01/2012,9,190
27/01/2012,10,202
27/01/2012,11,213
27/01/2012,12,298
27/01/2012,13,309
27/01/2012,14,318
27/01/2012,15,339
27/01/2012,16,343
27/01/2012,17,382
27/01/2012,18,360
27/01/2012,19,206
27/01/2012,20,183
27/01/2012,21,145
27/01/2012,22,138
27/01/2012,23,113
28/01/2012,0,86
28/01/2012,1,109
28/01/2012,2,98
28/01/2012,3,76
28/01/2012,4,45
28/01/2012,5,10
28/01/2012,6,18
28/01/2012,7,31
28/01/2012,8,48
28/01/2012,9,152
28/01/2012,10,287
28/01/2012,11,392
28/01/2012,12,513
28/01/2012,13,546
28/01/2012,14,536
28/01/2012,15,683
28/01/2012,16,622
28/01/2012,17,350
28/01/2012,18,248
28/01/2012,19,174
28/01/2012,20,170
28/01/2012,21,153
28/01/2012,22,127
28/01/2012,23,137
29/01/2012,0,139
29/01/2012,1,147
29/01/2012,2,100
29/01/2012,3,107
29/01/2012,4,51
29/01/2012,5,43
29/01/2012,6,18
29/01/2012,7,14
29/01/2012,8,53
29/01/2012,9,116
29/01/2012,10,189
29/01/2012,11,404
29/01/2012,12,471
29/01/2012,13,540
29/01/2012,14,567
29/01/2012,15,530
29/01/2012,16,402
29/01/2012,17,289
29/01/2012,18,179
29/01/2012,19,123
29/01/2012,20,100
29/01/2012,21,88
29/01/2012,22,5
29/01/2012,23,6
30/01/2012,0,54
30/01/2012,1,29
30/01/2012,2,16
30/01/2012,3,21
30/01/2012,4,14
30/01/2012,5,14
30/01/2012,6,30
30/01/2012,7,94
30/01/2012,8,226
30/01/2012,9,152
30/01/2012,10,144
30/01/2012,11,148
30/01/2012,12,168
30/01/2012,13,199
30/01/2012,14,182
30/01/2012,15,189
30/01/2012,16,245
30/01/2012,17,291
30/01/2012,18,266
30/01/2012,19,178
30/01/2012,20,115
30/01/2012,21,95
30/01/2012,22,67
30/01/2012,23,46
31/01/2012,0,46
31/01/2012,1,26
31/01/2012,2,20
31/01/2012,3,22
31/01/2012,4,11
31/01/2012,5,16
31/01/2012,6,35
31/01/2012,7,106
31/01/2012,8,243
31/01/2012,9,169
31/01/2012,10,107
31/01/2012,11,108
31/01/2012,12,141
31/01/2012,13,99
31/01/2012,14,141
31/01/2012,15,135
31/01/2012,16,168
31/01/2012,17,239
31/01/2012,18,254
31/01/2012,19,172
31/01/2012,20,77
31/01/2012,21,72
31/01/2012,22,57
31/01/2012,23,74
01/02/2012,0,28
01/02/2012,1,29
01/02/2012,2,22
01/02/2012,3,13
01/02/2012,4,9
01/02/2012,5,12
01/02/2012,6,38
01/02/2012,7,98
01/02/2012,8,232
01/02/2012,9,178
01/02/2012,10,88
01/02/2012,11,124
01/02/2012,12,166
01/02/2012,13,164
01/02/2012,14,178
01/02/2012,15,163
01/02/2012,16,220
01/02/2012,17,231
01/02/2012,18,245
01/02/2012,19,144
01/02/2012,20,98
01/02/2012,21,81
01/02/2012,22,66
01/02/2012,23,44
02/02/2012,0,32
02/02/2012,1,19
02/02/2012,2,10
02/02/2012,3,6
02/02/2012,4,9
02/02/2012,5,11
02/02/2012,6,36
02/02/2012,7,88
02/02/2012,8,241
02/02/2012,9,154
02/02/2012,10,88
02/02/2012,11,100
02/02/2012,12,131
02/02/2012,13,133
02/02/2012,14,142
02/02/2012,15,153
02/02/2012,16,186
02/02/2012,17,224
02/02/2012,18,202
02/02/2012,19,139
02/02/2012,20,71
02/02/2012,21,74
02/02/2012,22,72
02/02/2012,23,63
03/02/2012,0,44
03/02/2012,1,28
03/02/2012,2,11
03/02/2012,3,10
03/02/2012,4,15
03/02/2012,5,11
03/02/2012,6,27
03/02/2012,7,64
03/02/2012,8,208
03/02/2012,9,152
03/02/2012,10,110
03/02/2012,11,131
03/02/2012,12,188
03/02/2012,13,221
03/02/2012,14,196
03/02/2012,15,202
03/02/2012,16,215
03/02/2012,17,220
03/02/2012,18,175
03/02/2012,19,128
03/02/2012,20,75
03/02/2012,21,102
03/02/2012,22,95
03/02/2012,23,76
04/02/2012,0,101
04/02/2012,1,68
04/02/2012,2,70
04/02/2012,3,43
04/02/2012,4,31
04/02/2012,5,10
04/02/2012,6,17
04/02/2012,7,19
04/02/2012,8,54
04/02/2012,9,108
04/02/2012,10,140
04/02/2012,11,279
04/02/2012,12,319
04/02/2012,13,361
04/02/2012,14,346
04/02/2012,15,339
04/02/2012,16,335
04/02/2012,17,206
04/02/2012,18,103
04/02/2012,19,50
04/02/2012,20,35
04/02/2012,21,30
04/02/2012,22,16
04/02/2012,23,39
05/02/2012,0,3
05/02/2012,1,76
05/02/2012,2,56
05/02/2012,3,44
05/02/2012,4,30
05/02/2012,5,6
05/02/2012,6,10
05/02/2012,7,5
05/02/2012,8,5
05/02/2012,9,21
05/02/2012,10,39
05/02/2012,11,49
05/02/2012,12,47
05/02/2012,13,85
05/02/2012,14,78
05/02/2012,15,62
05/02/2012,16,85
05/02/2012,17,51
05/02/2012,18,66
05/02/2012,19,52
05/02/2012,20,42
05/02/2012,21,29
05/02/2012,22,25
05/02/2012,23,27
06/02/2012,0,22
06/02/2012,1,25
06/02/2012,2,11
06/02/2012,3,28
06/02/2012,4,23
06/02/2012,5,12
06/02/2012,6,32
06/02/2012,7,50
06/02/2012,8,156
06/02/2012,9,119
06/02/2012,10,83
06/02/2012,11,62
06/02/2012,12,116
06/02/2012,13,73
06/02/2012,14,56
06/02/2012,15,138
06/02/2012,16,161
06/02/2012,17,258
06/02/2012,18,201
06/02/2012,19,145
06/02/2012,20,103
06/02/2012,21,74
06/02/2012,22,60
06/02/2012,23,51
07/02/2012,0,23
07/02/2012,1,36
07/02/2012,2,14
07/02/2012,3,10
07/02/2012,4,11
07/02/2012,5,17
07/02/2012,6,31
07/02/2012,7,91
07/02/2012,8,200
07/02/2012,9,154
07/02/2012,10,126
07/02/2012,11,131
07/02/2012,12,138
07/02/2012,13,163
07/02/2012,14,193
07/02/2012,15,169
07/02/2012,16,166
07/02/2012,17,191
07/02/2012,18,225
07/02/2012,19,122
07/02/2012,20,83
07/02/2012,21,80
07/02/2012,22,45
07/02/2012,23,25
08/02/2012,0,23
08/02/2012,1,13
08/02/2012,2,4
08/02/2012,3,7
08/02/2012,4,5
08/02/2012,5,9
08/02/2012,6,37
08/02/2012,7,74
08/02/2012,8,243
08/02/2012,9,138
08/02/2012,10,74
08/02/2012,11,82
08/02/2012,12,115
08/02/2012,13,123
08/02/2012,14,127
08/02/2012,15,135
08/02/2012,16,154
08/02/2012,17,217
08/02/2012,18,184
08/02/2012,19,122
08/02/2012,20,74
08/02/2012,21,92
08/02/2012,22,61
08/02/2012,23,40
09/02/2012,0,28
09/02/2012,1,18
09/02/2012,2,20
09/02/2012,3,11
09/02/2012,4,7
09/02/2012,5,11
09/02/2012,6,30
09/02/2012,7,92
09/02/2012,8,228
09/02/2012,9,150
09/02/2012,10,89
09/02/2012,11,83
09/02/2012,12,129
09/02/2012,13,136
09/02/2012,14,126
09/02/2012,15,140
09/02/2012,16,152
09/02/2012,17,230
09/02/2012,18,209
09/02/2012,19,138
09/02/2012,20,75
09/02/2012,21,37
09/02/2012,22,32
09/02/2012,23,25
10/02/2012,0,16
10/02/2012,1,13
10/02/2012,2,11
10/02/2012,3,8
10/02/2012,4,7
10/02/2012,5,12
10/02/2012,6,29
10/02/2012,7,58
10/02/2012,8,180
10/02/2012,9,138
10/02/2012,10,83
10/02/2012,11,107
10/02/2012,12,124
10/02/2012,13,171
10/02/2012,14,164
10/02/2012,15,215
10/02/2012,16,180
10/02/2012,17,223
10/02/2012,18,177
10/02/2012,19,133
10/02/2012,20,108
10/02/2012,21,66
10/02/2012,22,68
10/02/2012,23,65
11/02/2012,0,67
11/02/2012,1,64
11/02/2012,2,80
11/02/2012,3,44
11/02/2012,4,18
11/02/2012,5,14
11/02/2012,6,14
11/02/2012,7,18
11/02/2012,8,40
11/02/2012,9,72
11/02/2012,10,162
