Date,Start hour,Member hires made through the app
17/06/2015,19,59
17/06/2015,20,37
17/06/2015,21,21
17/06/2015,22,18
17/06/2015,23,11
18/06/2015,0,3
18/06/2015,1,4
18/06/2015,2,1
18/06/2015,3,1
18/06/2015,5,2
18/06/2015,6,16
18/06/2015,7,58
18/06/2015,8,112
18/06/2015,9,61
18/06/2015,10,34
18/06/2015,11,39
18/06/2015,12,35
18/06/2015,13,44
18/06/2015,14,32
18/06/2015,15,36
18/06/2015,16,55
18/06/2015,17,95
18/06/2015,18,93
18/06/2015,19,43
18/06/2015,20,36
18/06/2015,21,31
18/06/2015,22,22
18/06/2015,23,13
19/06/2015,0,7
19/06/2015,1,3
19/06/2015,2,6
19/06/2015,3,1
19/06/2015,4,1
19/06/2015,5,3
19/06/2015,6,16
19/06/2015,7,46
19/06/2015,8,97
19/06/2015,9,61
19/06/2015,10,20
19/06/2015,11,21
19/06/2015,12,38
19/06/2015,13,33
19/06/2015,14,30
19/06/2015,15,41
19/06/2015,16,54
19/06/2015,17,88
19/06/2015,18,70
19/06/2015,19,53
19/06/2015,20,33
19/06/2015,21,27
19/06/2015,22,21
19/06/2015,23,14
20/06/2015,0,6
20/06/2015,1,3
20/06/2015,2,4
20/06/2015,3,1
20/06/2015,4,6
20/06/2015,5,2
20/06/2015,6,4
20/06/2015,7,8
20/06/2015,8,6
20/06/2015,9,31
20/06/2015,10,26
20/06/2015,11,30
20/06/2015,12,35
20/06/2015,13,37
20/06/2015,14,41
20/06/2015,15,55
20/06/2015,16,47
20/06/2015,17,30
20/06/2015,18,18
20/06/2015,19,26
20/06/2015,20,20
20/06/2015,21,21
20/06/2015,22,11
20/06/2015,23,12
21/06/2015,0,13
21/06/2015,1,5
21/06/2015,2,2
21/06/2015,3,1
21/06/2015,4,2
21/06/2015,5,2
21/06/2015,6,1
21/06/2015,7,4
21/06/2015,8,6
21/06/2015,9,10
21/06/2015,10,27
21/06/2015,11,38
21/06/2015,12,38
21/06/2015,13,32
21/06/2015,14,41
21/06/2015,15,39
21/06/2015,16,31
21/06/2015,17,38
21/06/2015,18,35
21/06/2015,19,28
21/06/2015,20,23
21/06/2015,21,12
21/06/2015,22,11
21/06/2015,23,6
22/06/2015,0,2
22/06/2015,1,4
22/06/2015,2,1
22/06/2015,3,1
22/06/2015,5,4
22/06/2015,6,9
22/06/2015,7,38
22/06/2015,8,101
22/06/2015,9,67
22/06/2015,10,26
22/06/2015,11,13
22/06/2015,12,19
22/06/2015,13,27
22/06/2015,14,27
22/06/2015,15,25
22/06/2015,16,46
22/06/2015,17,108
22/06/2015,18,95
22/06/2015,19,62
22/06/2015,20,40
22/06/2015,21,25
22/06/2015,22,20
22/06/2015,23,9
23/06/2015,0,3
23/06/2015,1,1
23/06/2015,2,2
23/06/2015,3,2
23/06/2015,4,1
23/06/2015,5,5
23/06/2015,6,15
23/06/2015,7,54
23/06/2015,8,132
23/06/2015,9,74
23/06/2015,10,38
23/06/2015,11,20
23/06/2015,12,30
23/06/2015,13,32
23/06/2015,14,39
23/06/2015,15,29
23/06/2015,16,57
23/06/2015,17,107
23/06/2015,18,111
23/06/2015,19,73
23/06/2015,20,53
23/06/2015,21,32
23/06/2015,22,21
23/06/2015,23,17
24/06/2015,0,8
24/06/2015,1,4
24/06/2015,3,1
24/06/2015,4,1
24/06/2015,5,3
24/06/2015,6,16
24/06/2015,7,70
24/06/2015,8,117
24/06/2015,9,72
24/06/2015,10,23
24/06/2015,11,36
24/06/2015,12,56
24/06/2015,13,50
24/06/2015,14,34
24/06/2015,15,34
24/06/2015,16,67
24/06/2015,17,109
24/06/2015,18,106
24/06/2015,19,70
24/06/2015,20,23
24/06/2015,21,32
24/06/2015,22,21
24/06/2015,23,12
25/06/2015,0,1
25/06/2015,4,1
25/06/2015,5,1
25/06/2015,6,24
25/06/2015,7,68
25/06/2015,8,144
25/06/2015,9,60
25/06/2015,10,23
25/06/2015,11,24
25/06/2015,12,32
25/06/2015,13,40
25/06/2015,14,30
25/06/2015,15,49
25/06/2015,16,48
25/06/2015,17,120
25/06/2015,18,104
25/06/2015,19,66
25/06/2015,20,39
25/06/2015,21,25
25/06/2015,22,24
25/06/2015,23,16
26/06/2015,0,4
26/06/2015,1,4
26/06/2015,2,3
26/06/2015,4,2
26/06/2015,5,4
26/06/2015,6,14
26/06/2015,7,42
26/06/2015,8,105
26/06/2015,9,66
26/06/2015,10,29
26/06/2015,11,22
26/06/2015,12,35
26/06/2015,13,47
26/06/2015,14,40
26/06/2015,15,30
26/06/2015,16,45
26/06/2015,17,94
26/06/2015,18,77
26/06/2015,19,45
26/06/2015,20,40
26/06/2015,21,24
26/06/2015,22,20
26/06/2015,23,19
27/06/2015,0,17
27/06/2015,1,8
27/06/2015,2,3
27/06/2015,3,5
27/06/2015,6,3
27/06/2015,7,9
27/06/2015,8,21
27/06/2015,9,26
27/06/2015,10,29
27/06/2015,11,45
27/06/2015,12,42
27/06/2015,13,44
27/06/2015,14,42
27/06/2015,15,41
27/06/2015,16,55
27/06/2015,17,49
27/06/2015,18,33
27/06/2015,19,36
27/06/2015,20,35
27/06/2015,21,20
27/06/2015,22,17
27/06/2015,23,22
28/06/2015,0,13
28/06/2015,1,14
28/06/2015,2,6
28/06/2015,3,5
28/06/2015,4,2
28/06/2015,5,1
28/06/2015,6,3
28/06/2015,7,6
28/06/2015,8,11
28/06/2015,9,19
28/06/2015,10,25
28/06/2015,11,39
28/06/2015,12,24
28/06/2015,13,10
28/06/2015,14,33
28/06/2015,15,49
28/06/2015,16,39
28/06/2015,17,51
28/06/2015,18,35
28/06/2015,19,30
28/06/2015,20,38
28/06/2015,21,13
28/06/2015,22,9
28/06/2015,23,5
29/06/2015,0,8
29/06/2015,1,1
