Date,Start hour,Annual member hires using a key
21/01/2012,11,206
21/01/2012,12,167
21/01/2012,13,202
21/01/2012,14,201
21/01/2012,15,223
21/01/2012,16,208
21/01/2012,17,200
21/01/2012,18,153
21/01/2012,19,117
21/01/2012,20,93
21/01/2012,21,69
21/01/2012,22,48
21/01/2012,23,52
22/01/2012,0,42
22/01/2012,1,45
22/01/2012,2,29
22/01/2012,3,15
22/01/2012,4,13
22/01/2012,5,6
22/01/2012,6,9
22/01/2012,7,22
22/01/2012,8,45
22/01/2012,9,73
22/01/2012,10,130
22/01/2012,11,170
22/01/2012,12,185
22/01/2012,13,216
22/01/2012,14,172
22/01/2012,15,216
22/01/2012,16,212
22/01/2012,17,144
22/01/2012,18,152
22/01/2012,19,110
22/01/2012,20,65
22/01/2012,21,38
22/01/2012,22,45
22/01/2012,23,29
23/01/2012,0,11
23/01/2012,1,2
23/01/2012,3,3
23/01/2012,4,2
23/01/2012,5,18
23/01/2012,6,161
23/01/2012,7,607
23/01/2012,8,1106
23/01/2012,9,445
23/01/2012,10,164
23/01/2012,11,127
23/01/2012,12,204
23/01/2012,13,234
23/01/2012,14,185
23/01/2012,15,190
23/01/2012,16,377
23/01/2012,17,923
23/01/2012,18,768
23/01/2012,19,343
23/01/2012,20,173
23/01/2012,21,102
23/01/2012,22,75
23/01/2012,23,32
24/01/2012,0,11
24/01/2012,1,3
24/01/2012,2,3
24/01/2012,3,3
24/01/2012,4,3
24/01/2012,5,17
24/01/2012,6,170
24/01/2012,7,457
24/01/2012,8,581
24/01/2012,9,206
24/01/2012,10,42
24/01/2012,11,50
24/01/2012,12,64
24/01/2012,13,88
24/01/2012,14,96
24/01/2012,15,146
24/01/2012,16,278
24/01/2012,17,693
24/01/2012,18,598
24/01/2012,19,331
24/01/2012,20,154
24/01/2012,21,116
24/01/2012,22,62
24/01/2012,23,43
25/01/2012,0,13
25/01/2012,1,6
25/01/2012,2,3
25/01/2012,3,3
25/01/2012,4,3
25/01/2012,5,19
25/01/2012,6,159
25/01/2012,7,616
25/01/2012,8,1142
25/01/2012,9,479
25/01/2012,10,176
25/01/2012,11,146
25/01/2012,12,254
25/01/2012,13,238
25/01/2012,14,203
25/01/2012,15,186
25/01/2012,16,348
25/01/2012,17,870
25/01/2012,18,684
25/01/2012,19,340
25/01/2012,20,202
25/01/2012,21,129
25/01/2012,22,101
