Ozone,NO,NO2,NOX,SO2,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
46,31,75,120,5,18,12,8,18,12,6
54,35,96,149,3,14,12,6,13,11,7
48,29,84,128,5,17,15,4,18,16,3
42,19,82,111,3,63,59,5,67,64,5
34,65,92,174,5,33,30,10,37,33,12
24,100,107,260,8,58,54,6,61,58,5
16,110,94,249,11,48,42,7,53,47,8
32,65,84,184,3,22,19,5,22,19,5
48,46,103,163,11,21,17,5,22,19,6
38,45,80,149,5,21,17,5,23,18,7
34,31,84,124,8,34,31,6,37,33,7
32,67,92,178,11,32,29,5,35,31,6
16,46,84,155,8,19,15,5,20,16,5
44,34,77,128,5,20,18,4,20,18,6
28,87,94,224,64,33,27,9,38,30,10
4,187,90,373,21,42,34,12,47,37,13
6,66,67,166,8,42,30,13,50,36,15
18,79,78,199,8,34,24,10,35,26,9
36,59,86,163,11,23,18,5,23,19,5
46,56,78,164,5,18,15,6,19,14,6
48,16,59,82,5,19,16,3,16,12,6
24,51,94,145,5,20,16,6,24,17,7
66,14,67,88,11,15,11,7,14,10,7
60,46,99,168,11,24,21,4,24,22,5
8,306,130,599,19,44,41,8,51,45,10
58,20,55,82,5,17,16,6,14,10,7
68,101,103,258,8,18,13,5,18,13,5
18,118,92,273,11,22,14,8,23,16,8
38,91,94,233,13,13,10,4,14,10,6
26,153,113,348,13,34,30,6,23,17,7
6,206,130,446,13,35,28,9,41,31,10
8,112,99,245,11,30,23,9,35,27,10
24,69,92,191,11,27,22,6,28,23,8
24,55,101,168,11,15,11,6,16,10,7
26,74,115,220,11,20,16,4,21,16,6
8,132,115,317,13,,,,24,19,6
42,97,86,235,11,,,,25,18,9
48,106,115,268,8,,,,16,14,6
18,114,96,245,11,27,22,6,30,23,8
34,99,96,247,8,20,11,13,18,11,7
34,112,98,270,8,20,18,4,17,15,4
8,281,142,572,16,46,39,9,50,41,11
4,501,207,975,27,63,53,12,60,50,12
6,238,115,480,37,50,38,13,54,40,14
48,116,77,251,8,53,40,13,52,40,15
42,12,67,78,3,16,14,3,17,14,4
46,11,82,99,3,16,13,5,17,12,5
40,37,88,138,3,18,16,4,15,12,6
32,117,94,268,8,29,23,6,31,23,8
28,106,88,237,5,31,23,9,33,23,10
28,86,71,199,5,14,12,7,13,11,7
36,52,99,166,8,20,17,4,19,16,5
50,41,82,145,5,17,12,7,18,13,7
50,9,57,71,3,19,16,7,17,13,5
52,19,71,99,3,18,14,9,15,10,7
66,6,42,52,0,9,9,5,9,8,5
60,5,50,54,3,17,14,6,14,13,5
66,84,101,218,5,15,14,5,12,13,5
58,17,71,92,3,12,9,5,13,9,5
70,6,65,75,3,14,13,6,15,11,8
70,5,48,54,3,16,15,5,14,12,4
74,4,55,61,3,15,11,6,13,10,6
43,20,84,114,6,18,16,3,,,
25,61,75,167,6,17,14,3,,,
38,17,70,95,4,17,14,6,,,
58,57,96,177,16,22,16,6,,,
41,19,76,105,4,27,22,7,,,
36,18,64,87,7,23,17,7,,,
34,37,51,108,6,23,17,6,,,
40,20,66,96,7,25,22,6,,,
14,158,101,342,13,26,21,6,,,
3,199,111,401,14,34,27,10,,,
3,163,102,345,15,40,31,11,,,
18,91,95,234,11,30,20,11,,,
17,83,77,198,9,28,19,9,,,
27,91,107,246,10,22,15,9,,,
36,130,83,280,12,24,18,8,,,
4,214,107,435,16,44,37,9,,,
6,480,183,911,32,64,53,11,,,
30,84,76,204,13,38,28,13,,,
20,69,72,178,11,32,24,9,,,
39,87,77,209,10,24,19,7,,,
28,112,106,277,13,36,30,7,,,
8,201,115,422,17,44,35,11,,,
22,101,87,242,16,43,34,10,,,
23,89,96,217,11,37,28,10,,,
27,96,101,248,9,40,29,12,,,
45,44,98,162,10,30,19,11,,,
66,7,50,56,7,17,12,8,,,
53,19,64,93,5,16,14,6,,,
65,12,69,88,4,21,14,7,,,
55,14,69,82,5,,,,,,
63,20,66,97,4,18,17,4,,,
53,101,104,254,8,20,17,6,,,
48,83,88,215,10,19,17,3,,,
46,34,103,154,4,18,15,6,,,
53,90,90,224,8,20,17,6,,,
67,33,70,120,9,13,12,6,,,
50,103,81,239,10,15,14,2,,,
36,81,86,203,9,21,18,4,,,
26,151,89,320,16,25,20,7,,,
