Ozone,NO,NO2,NOX,SO2,CO,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
60,1,20,22,2,0.14,16,12,3,5,4,1
29,30,58,103,3,0.39,15,12,3,9,8,1
5,81,68,193,2,0.41,25,19,6,20,16,5
55,1,20,22,3,0.19,10,8,2,5,3,1
28,13,51,71,0,0.29,11,8,3,6,4,2
25,8,35,48,3,0.2,12,9,3,9,6,2
35,5,35,43,4,0.17,10,8,2,4,3,1
17,29,53,97,1,0.26,17,13,4,10,8,2
2,111,77,247,5,0.45,34,28,6,28,23,6
7,58,58,147,2,0.29,27,21,6,24,19,5
8,36,64,119,2,0.27,23,18,5,18,14,4
21,7,53,64,2,0.25,12,8,4,7,4,3
17,22,58,92,2,0.28,16,14,3,9,8,1
13,35,58,112,2,0.31,,,,13,11,2
14,29,56,100,2,0.28,19,15,4,13,10,3
40,4,33,39,2,0.15,8,7,1,5,4,1
11,27,49,91,2,0.34,21,18,3,17,14,3
40,2,29,32,1,0.16,12,8,3,7,4,3
24,10,39,55,1,0.19,13,12,1,6,6,0
5,74,62,175,3,0.33,25,21,4,20,17,3
2,167,96,352,8,0.64,40,33,7,34,27,7
5,65,62,162,7,0.32,38,30,8,33,25,8
27,18,42,69,3,0.31,21,14,8,15,9,6
48,1,32,35,0,0.21,15,13,3,6,5,1
39,2,41,45,0,0.16,13,10,3,5,4,1
29,9,48,62,0,0.28,16,14,2,7,6,1
13,37,57,114,4,0.36,23,18,4,16,13,3
11,28,57,100,1,0.22,23,16,7,17,12,5
17,17,45,72,4,0.2,9,5,5,6,3,3
16,19,54,83,2,0.23,17,14,3,9,8,1
32,5,38,46,0,0.3,10,6,5,5,2,3
47,1,24,25,0,0.14,15,12,3,5,4,1
46,1,27,29,0,0.12,13,8,5,5,4,2
53,1,19,20,1,0.24,8,5,2,3,2,1
49,1,24,25,0,0.13,13,11,3,6,5,1
49,1,28,30,0,0.23,14,12,2,5,5,0
45,2,29,32,3,0.14,12,8,4,6,4,2
64,1,16,17,2,0.24,13,8,4,4,3,1
70,0,15,15,0,0.19,13,12,2,4,4,0
66,0,17,18,3,0.25,13,9,4,5,3,2
42,2,32,35,2,0.22,11,10,1,6,5,0
15,12,48,66,2,0.27,13,13,0,7,7,0
32,2,34,38,1,0.31,13,12,1,9,7,1
44,2,30,32,4,0.18,13,10,2,9,7,2
29,3,35,41,1,0.22,14,10,4,11,7,3
18,5,40,48,2,0.28,20,15,5,17,13,4
20,7,31,42,2,0.26,14,10,4,10,7,3
30,4,33,39,2,0.25,17,14,3,11,9,2
17,61,57,149,4,0.46,20,17,4,15,12,3
5,97,66,214,4,0.56,33,26,7,26,20,5
5,87,75,209,4,0.51,37,28,9,31,23,8
17,14,55,77,2,0.3,23,16,7,19,13,6
23,11,42,59,1,0.28,24,17,7,19,14,5
19,17,54,80,1,0.33,19,12,7,15,10,5
21,27,48,89,2,0.34,19,14,5,15,11,4
8,98,75,225,5,0.61,34,27,7,30,24,5
5,147,94,320,6,0.78,39,31,8,33,26,7
14,16,52,76,3,0.39,36,27,9,32,24,8
21,8,44,57,2,0.34,29,21,8,24,19,6
35,7,35,45,2,0.29,23,17,6,19,15,5
14,22,60,94,2,0.42,24,19,5,22,18,4
8,70,82,190,4,0.55,,,,,,
14,25,60,98,4,0.44,,,,,,
19,20,64,95,3,0.36,,,,,,
23,26,62,102,2,0.39,28,21,7,24,18,6
40,7,42,52,2,0.34,19,14,5,11,8,3
65,1,20,22,1,0.25,12,9,2,5,4,1
50,4,31,38,1,0.27,13,11,2,6,5,1
51,3,23,27,2,0.28,11,8,3,7,5,2
58,2,22,24,2,0.24,14,12,1,7,6,0
59,2,22,25,1,0.22,19,16,3,8,6,1
33,19,49,79,3,0.37,14,11,3,9,7,2
45,7,32,43,3,0.27,13,11,1,8,8,0
24,6,49,59,2,0.33,16,12,4,11,9,3
59,2,23,25,2,0.23,16,13,3,9,7,2
59,2,24,27,3,0.23,9,6,3,5,2,2
49,3,24,29,2,0.24,9,9,1,6,6,0
30,8,41,54,4,0.29,13,11,2,8,7,2
19,23,51,86,3,0.35,22,16,6,17,12,5
29,6,45,54,1,0.32,17,11,5,13,9,4
33,4,36,42,2,0.33,11,5,6,8,4,4
,,,,,,24,19,5,20,17,4
,,,,,,42,35,7,38,31,7
19,8,41,54,2,0.36,46,39,8,43,36,7
27,8,39,51,2,0.24,13,7,6,8,4,4
15,46,63,133,3,0.37,21,18,3,13,11,2
19,28,58,101,2,0.36,27,24,3,19,16,2
14,29,59,103,3,0.34,40,32,8,34,27,7
9,42,60,125,4,0.41,42,31,11,39,27,11
3,134,90,296,5,0.7,49,37,12,45,33,12
23,11,42,59,4,0.24,30,21,9,25,16,9
43,6,35,45,1,0.15,19,12,7,13,8,5
