Ozone,NO,NO2,NOX,SO2,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
16,46,82,152,7,18,13,5,,,
41,7,46,57,3,14,11,3,,,
55,5,34,41,3,10,7,4,,,
38,15,54,76,4,10,7,3,,,
6,73,98,210,7,21,16,5,,,
14,39,73,133,5,29,21,8,,,
12,54,69,152,5,38,28,10,,,
17,45,84,152,5,26,20,6,,,
16,40,74,136,6,40,28,12,,,
22,31,66,114,4,31,22,8,,,
36,21,54,86,3,25,19,6,,,
39,28,62,105,4,25,21,4,,,
35,30,68,113,4,25,21,5,,,
27,33,77,128,5,29,22,7,,,
32,34,75,127,5,29,22,7,,,
45,17,63,89,4,17,13,4,,,
46,20,60,91,4,18,15,3,,,
43,14,61,83,3,14,11,3,,,
54,13,48,68,1,20,16,5,,,
50,22,55,88,1,14,11,3,,,
44,24,58,94,1,20,16,4,,,
39,27,62,104,2,22,17,5,,,
42,27,60,101,2,17,14,3,,,
40,20,63,94,1,16,13,3,,,
45,10,63,79,2,27,20,7,,,
34,25,70,109,4,34,24,11,,,
15,45,71,139,4,35,25,10,,,
21,32,55,105,3,47,32,16,,,
21,40,68,129,4,25,17,8,,,
30,12,59,78,3,13,9,4,,,
41,5,36,44,2,17,13,4,,,
67,2,15,18,2,16,12,5,,,
67,3,25,30,3,16,13,3,,,
58,4,28,34,2,15,13,3,,,
53,4,24,30,2,17,12,5,,,
68,4,25,30,2,14,12,2,,,
28,34,64,116,3,14,13,1,,,
33,15,51,75,2,13,10,4,,,
53,8,38,51,3,15,11,4,,,
54,4,23,29,3,16,12,4,,,
31,21,53,85,3,17,13,3,,,
16,14,40,62,2,17,13,4,,,
34,18,38,66,3,22,15,8,,,
29,36,57,112,4,13,8,5,,,
34,23,50,86,4,12,10,2,,,
51,5,29,37,3,11,7,4,,,
40,25,52,91,4,10,8,2,,,
31,24,50,87,3,14,11,2,,,
32,23,50,85,3,16,12,4,,,
27,31,67,115,3,12,10,2,,,
34,27,69,110,4,15,12,4,,,
54,4,27,34,,11,9,2,,,
46,5,30,37,,12,10,2,,,
44,10,33,48,,16,12,4,,,
19,43,90,156,,25,19,5,,,
32,10,44,59,,23,15,8,,,
56,3,18,23,,13,9,4,9,6,3
55,4,27,34,2,11,9,2,7,6,1
55,5,30,38,2,8,6,3,5,3,2
44,5,27,36,2,11,9,2,6,4,1
56,5,29,36,2,11,7,4,6,4,2
51,6,32,41,2,10,6,4,8,5,3
47,8,37,49,2,10,8,2,5,5,0
28,21,63,96,3,16,12,3,12,10,2
25,29,70,114,2,14,11,3,13,10,3
32,20,59,90,2,14,11,4,13,10,3
22,26,69,109,2,25,19,7,26,19,7
15,34,64,116,2,26,20,6,26,20,6
25,29,55,99,2,18,14,5,15,12,3
28,31,57,104,2,14,9,5,10,7,3
26,32,58,107,3,9,7,3,5,4,1
15,31,65,112,3,10,8,2,6,5,1
31,21,58,90,2,14,11,3,11,9,2
48,14,53,75,3,12,9,3,10,8,2
78,2,23,25,3,14,10,4,11,8,3
36,13,56,75,3,18,13,5,15,11,4
15,30,66,111,3,17,13,4,14,11,3
20,30,62,107,3,17,13,4,15,13,2
34,22,73,106,2,21,17,4,18,16,3
22,19,44,73,2,11,9,2,8,7,1
34,15,45,68,4,11,9,3,7,6,1
30,12,44,63,3,12,9,3,7,6,1
33,21,43,75,4,10,8,2,6,5,1
31,17,45,71,3,14,11,3,9,8,2
35,17,45,71,3,13,10,3,9,8,1
30,19,46,75,3,12,9,3,8,7,1
39,13,27,47,3,10,7,3,7,6,2
32,12,24,42,3,8,5,3,5,3,1
36,12,43,62,3,10,7,2,8,6,1
30,12,47,65,4,15,12,3,11,9,2
25,5,25,33,3,9,6,3,5,4,1
35,5,27,34,5,10,7,3,5,5,0
37,5,26,33,4,10,7,3,6,5,1
44,3,17,22,2,9,8,2,6,5,1
43,3,19,24,2,10,8,2,7,6,0
29,23,60,94,4,15,13,3,10,9,1
19,20,53,83,3,21,16,4,20,17,2
23,24,69,106,2,27,20,7,26,21,5
26,13,53,73,4,32,23,9,38,27,10
32,6,31,39,2,15,11,4,14,11,3
40,3,16,20,2,9,5,4,7,4,2
35,5,21,28,3,7,5,2,4,3,0
22,20,47,78,5,9,7,2,5,5,0
20,22,55,88,7,11,9,3,8,8,0
20,30,63,109,5,14,12,3,13,11,1
28,17,44,70,3,11,8,4,10,8,2
6,22,38,71,6,10,7,3,7,6,1
31,18,41,68,6,10,7,2,7,6,0
22,8,24,36,5,11,7,4,8,6,2
33,10,34,49,7,9,7,3,9,8,1
26,9,37,50,5,12,9,3,11,9,2
11,20,34,65,11,8,7,2,4,4,0
21,10,28,43,11,12,10,2,7,7,1
31,9,45,59,13,14,12,2,12,12,1
44,9,53,66,14,20,16,3,19,16,3
57,6,46,56,8,,,,26,19,7
52,10,39,55,5,,,,14,11,3
29,17,43,69,3,15,11,4,8,6,2
27,19,44,73,3,15,11,4,9,8,1
43,13,37,56,4,11,8,3,6,6,1
33,15,44,67,6,13,10,3,10,9,1
36,22,63,97,,,,,,,
55,12,57,75,,,,,19,16,3
36,16,64,89,,,,,11,8,2
42,21,76,108,,,,,20,18,2
57,6,61,71,,,,,18,16,2
39,10,43,59,,,,,12,10,2
39,10,29,44,,14,11,3,9,8,1
24,9,20,34,,12,9,3,8,6,2
53,4,27,33,,24,19,5,19,17,3
64,9,41,54,,,,,,,
45,7,50,60,,,,,,,
32,7,22,33,,16,11,5,8,7,1
29,6,23,32,,,,,8,7,1
39,6,29,38,,15,12,3,7,7,1
31,11,47,64,,19,16,3,12,10,2
45,2,9,12,,,,,,,
40,3,13,17,,,,,6,6,0
21,7,23,34,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
43,2,13,16,,,,,,,
44,2,13,15,,,,,,,
29,7,33,43,,,,,,,
25,14,43,64,,17,16,1,8,8,1
33,11,45,62,,25,23,2,,,
43,13,45,65,,27,24,3,,,
27,22,43,77,,17,14,3,7,7,0
34,7,33,43,,16,13,3,6,6,0
38,4,21,28,,14,11,3,4,4,0
20,21,41,74,,17,14,3,5,4,0
21,14,38,60,,15,13,2,5,5,0
21,18,33,60,,19,16,3,9,8,1
17,7,20,31,,18,15,3,7,7,1
17,7,23,34,,18,15,3,9,8,1
26,5,20,27,,18,14,4,8,7,1
32,4,18,23,,16,13,3,4,4,0
30,18,42,70,,18,16,2,5,6,-1
,,,,,,,,,,
,,,,,,,,,,
3,30,50,96,2,,,,14,12,2
42,12,62,81,6,50,43,7,38,31,7
20,16,46,71,2,40,30,10,36,24,12
40,11,33,49,2,17,14,2,14,13,2
48,5,33,41,1,22,19,4,14,12,2
23,23,58,94,1,19,18,1,13,11,2
36,13,54,75,1,,,,16,13,3
26,9,47,61,2,,,,13,11,2
25,5,25,32,1,,,,5,4,1
25,17,41,67,2,15,16,-2,8,8,0
32,4,28,34,1,12,12,0,7,6,1
20,17,40,66,1,10,10,0,6,6,1
13,34,58,111,3,19,19,-1,13,12,1
20,42,75,140,9,41,37,4,30,25,5
24,30,74,120,4,47,37,10,36,27,9
19,13,39,59,2,17,15,2,14,11,3
36,4,28,35,1,5,5,0,4,4,0
30,3,27,32,2,5,5,0,5,4,1
9,34,56,109,4,10,9,1,7,6,1
13,23,47,82,6,11,10,1,9,8,1
11,26,41,81,8,9,9,0,8,7,1
5,25,41,79,7,10,9,1,10,8,2
2,44,37,103,2,10,8,1,10,7,3
15,18,38,66,1,11,10,0,8,7,1
22,15,28,52,2,10,8,2,8,6,2
26,12,36,54,2,10,10,1,5,5,1
12,28,40,84,3,13,12,2,8,7,1
13,28,49,92,3,9,8,0,7,6,1
10,18,45,72,2,10,10,0,7,7,0
10,25,54,93,2,12,13,-1,8,9,0
12,12,35,54,2,20,20,0,14,13,0
8,15,27,51,1,8,7,1,9,7,2
5,27,38,80,4,17,15,2,15,12,3
4,59,63,154,4,45,36,9,38,29,9
8,33,65,116,5,63,47,16,56,41,16
16,17,44,71,2,25,18,7,17,11,6
12,27,48,89,4,21,18,3,14,11,3
13,24,48,84,3,30,24,6,20,15,5
24,13,35,55,2,26,23,3,16,13,2
15,25,48,87,7,30,26,3,19,17,3
5,31,66,114,7,39,33,6,28,23,6
6,33,52,103,6,31,26,5,25,21,4
1,51,53,130,5,29,24,5,22,18,4
25,4,41,48,3,11,10,1,7,6,1
8,17,52,78,2,10,8,1,8,7,1
21,22,49,83,2,13,11,2,11,9,1
19,6,43,51,1,13,11,2,11,9,2
14,9,45,59,1,11,9,2,8,7,2
20,15,52,76,1,11,8,3,6,4,2
23,21,50,82,2,12,11,1,6,5,1
22,25,49,87,2,15,14,1,9,8,0
17,23,54,89,2,14,12,3,12,9,2
11,11,50,68,3,10,6,3,9,6,3
11,14,45,66,3,12,9,3,9,7,2
5,36,60,115,4,19,15,3,15,12,3
11,33,60,110,3,17,14,3,12,9,3
22,13,54,74,2,16,14,1,9,8,1
13,23,55,90,3,21,18,3,12,10,2
13,11,48,65,3,18,15,2,12,10,2
33,5,42,49,3,13,11,2,7,6,1
28,6,44,54,3,12,10,2,7,6,1
