Ozone,NO,NO2,NOX,SO2,CO,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
60,15,40,55,0,0.35,20,17,5,12,9,4
40,15,42,57,3,0.47,18,15,4,12,11,3
70,133,88,293,5,0.58,30,30,7,18,18,4
48,46,61,132,16,0.47,30,24,6,24,21,5
72,14,69,82,3,0.23,24,24,5,14,13,4
76,165,80,321,5,0.58,37,34,5,25,24,5
74,65,88,186,8,0.47,39,34,7,24,21,5
94,87,98,231,8,0.58,37,33,6,28,25,4
132,146,101,325,8,1.1,49,43,7,40,36,6
78,4,25,27,3,0.23,19,16,5,12,11,5
72,4,57,59,8,0.12,13,10,5,7,7,5
52,37,55,113,3,0.47,,,,9,9,3
66,30,50,94,3,0.47,,,,12,10,5
62,4,40,44,3,0.23,,,,10,7,7
72,30,59,92,3,0.35,,,,16,14,5
56,2,36,38,0,0.35,,,,16,13,5
62,12,38,55,0,0.23,,,,9,8,3
60,7,40,44,3,0.23,,,,8,6,4
58,29,69,90,5,0.35,15,14,6,11,10,4
60,22,57,84,0,0.35,15,13,3,13,10,5
46,35,69,122,16,0.47,20,18,4,13,12,7
62,15,75,96,0,0.47,21,20,4,18,15,4
46,19,63,78,3,0.47,30,16,19,21,14,12
64,96,63,210,5,0.7,35,28,13,29,19,12
64,11,40,50,3,0.35,13,12,3,18,9,17
50,152,75,306,8,0.93,31,31,3,29,27,3
58,27,73,111,5,0.47,19,17,3,15,13,4
58,16,63,77,0,0.35,13,12,3,9,10,6
66,51,78,157,3,0.58,28,27,3,25,21,4
64,34,61,113,3,0.47,23,20,5,18,14,5
66,14,48,69,3,0.35,14,12,5,9,6,5
60,12,50,69,3,0.23,17,15,5,9,6,3
56,16,61,73,3,0.23,17,15,6,11,9,5
54,104,63,222,5,0.47,19,18,4,15,10,8
62,16,55,78,3,0.23,12,10,7,11,10,5
72,157,86,327,8,0.93,39,37,4,27,30,7
32,111,65,222,3,0.47,28,26,6,28,26,7
28,44,65,130,0,0.35,26,17,9,23,17,9
42,39,73,117,3,0.35,30,22,8,25,18,7
40,72,84,184,16,0.35,67,68,3,55,56,7
32,125,73,264,8,0.58,47,42,10,34,29,8
56,15,65,88,8,0.23,14,13,2,11,10,7
52,60,59,151,3,0.35,15,12,5,14,10,5
62,57,59,134,3,0.35,18,16,5,21,18,6
54,85,65,195,3,0.47,28,22,6,23,21,6
66,11,69,86,0,0.35,20,19,4,13,11,5
66,7,67,77,0,0.35,21,20,6,11,11,7
66,6,55,65,0,0.35,15,14,4,12,11,4
28,77,77,195,3,0.58,27,24,5,16,12,5
32,66,71,168,3,0.7,27,23,7,23,20,6
44,11,61,78,0,0.35,17,12,6,12,10,9
38,67,46,145,3,0.47,106,95,11,51,45,8
24,32,48,94,3,0.47,48,38,14,39,32,10
8,61,57,142,8,0.47,89,77,16,71,64,16
56,20,44,73,3,0.23,25,19,11,19,9,13
62,11,34,52,3,0.47,18,14,4,14,8,7
62,17,54,80,3,0.58,19,18,3,15,10,5
36,10,52,65,3,0.35,20,15,6,14,11,5
46,26,71,111,3,0.35,20,16,4,19,15,5
44,60,84,166,16,0.7,25,22,6,20,17,10
60,20,65,88,3,0.35,18,14,7,12,9,6
68,21,77,109,3,0.47,16,14,7,14,15,6
62,34,77,117,3,0.58,24,23,3,18,22,3
62,20,78,109,3,0.47,94,93,5,83,85,4
46,146,78,300,5,0.81,49,44,8,42,40,7
48,162,84,327,5,0.81,87,84,5,76,75,6
28,114,71,243,3,0.81,65,63,6,58,56,7
38,81,61,184,3,0.58,,,,14,12,6
54,42,80,145,5,0.47,22,23,3,20,20,5
50,46,67,138,3,0.35,23,19,5,17,16,5
52,40,71,126,5,0.58,49,48,4,44,43,4
52,95,94,239,5,0.81,48,46,6,47,43,4
30,61,77,170,3,0.47,33,28,6,29,25,4
50,34,69,120,3,0.7,26,24,5,16,16,4
46,55,75,159,29,0.58,42,33,10,36,27,9
8,166,84,339,29,0.58,59,49,13,50,41,15
16,62,63,153,3,0.35,62,50,16,51,39,16
44,24,63,94,3,0.47,40,32,10,32,24,9
38,49,94,168,5,0.58,34,29,6,27,24,7
56,45,69,138,5,0.47,27,20,7,22,15,7
60,4,42,46,3,0.35,17,14,5,10,9,4
36,17,73,96,3,0.35,25,19,6,22,16,6
78,4,42,44,3,0.23,20,15,5,9,7,4
76,131,96,281,5,0.93,34,29,7,21,22,3
14,230,88,440,8,1.1,46,40,10,38,36,9
70,5,42,48,3,0.35,16,13,7,9,8,7
78,37,82,134,3,0.7,21,16,6,18,14,4
46,29,63,107,3,0.35,26,16,10,23,14,11
48,12,48,61,8,0.58,14,11,4,8,7,4
36,99,80,226,5,0.58,31,26,6,23,18,7
4,247,98,476,11,0.81,47,40,11,42,35,11
28,193,77,373,8,0.7,48,40,9,42,35,9
28,86,88,220,3,0.58,38,33,7,36,31,8
50,27,80,117,3,0.35,22,18,7,14,8,8
46,87,90,224,5,0.58,31,27,6,25,24,5
36,145,77,293,5,0.58,,,,26,23,5
58,95,71,216,5,0.47,32,27,8,22,19,7
62,15,75,98,3,0.23,14,13,4,11,10,3
34,71,82,191,3,0.58,33,28,6,28,23,7
56,16,61,86,3,0.35,21,16,5,15,11,5
50,25,57,96,3,0.23,17,15,3,10,10,4
14,183,90,371,8,0.7,34,30,9,29,28,10
2,354,130,671,16,1.3,73,62,11,63,58,11
12,186,82,367,16,0.58,54,44,11,46,36,10
70,95,69,205,5,0.58,57,46,14,47,37,13
60,5,54,57,0,0.35,20,17,5,11,11,4
56,7,71,77,0,0.23,19,16,5,11,8,3
56,39,80,140,0,0.47,21,19,5,12,10,3
40,123,86,268,8,0.7,34,30,8,29,23,6
32,87,86,220,3,0.47,35,27,9,28,21,11
36,60,67,151,5,0.35,17,14,9,10,9,6
38,62,80,164,5,0.47,30,24,6,20,14,7
66,24,73,109,3,0.47,21,18,7,13,10,6
60,2,44,46,0,0.23,25,22,6,12,10,3
62,4,46,52,3,0.23,23,19,8,12,8,6
74,4,33,34,3,0.35,12,11,8,6,7,4
70,2,31,33,3,0.23,23,21,7,9,8,4
74,4,46,50,3,0.35,21,17,5,9,9,3
72,14,61,82,3,0.23,16,13,6,13,9,5
82,2,46,50,3,0.35,19,15,7,8,7,4
80,2,27,29,3,0.35,25,21,4,12,9,4
82,1,36,38,3,0.35,18,14,7,10,10,4
66,5,58,64,5,0.46,28,26,6,19,17,3
26,57,67,152,4,0.42,19,21,3,13,12,2
49,6,59,67,2,0.46,17,17,5,12,9,3
67,6,51,54,11,0.23,20,15,7,15,11,5
54,14,64,87,2,0.37,21,15,6,18,15,5
44,16,59,80,3,0.4,32,26,8,27,22,7
41,23,46,80,3,0.4,20,16,7,15,12,4
49,19,63,92,3,0.4,28,24,6,17,16,4
37,331,118,625,14,1.4,51,46,7,37,34,6
17,354,110,643,14,1.4,55,44,11,41,37,8
10,167,100,356,7,0.69,51,40,12,43,34,10
37,31,77,124,3,0.46,35,24,11,27,19,12
35,25,68,104,2,0.46,28,22,9,25,18,8
53,55,74,155,3,0.58,29,22,10,24,18,8
56,95,78,220,5,0.61,30,23,7,25,19,6
15,250,113,497,11,1.2,59,50,10,51,44,9
12,484,169,912,18,1.7,68,59,12,58,51,10
35,33,65,106,5,0.48,44,35,13,42,36,12
41,16,55,77,3,0.43,39,27,11,37,28,10
54,13,58,72,2,0.38,28,22,9,26,19,8
35,86,98,229,5,0.77,38,31,7,38,31,7
16,167,102,359,7,0.97,,,,,,
38,48,74,143,8,0.61,,,,,,
35,43,89,153,4,0.5,,,,,,
42,117,98,276,6,0.7,42,31,13,40,30,11
69,32,72,120,4,0.44,30,21,9,31,22,10
77,3,42,45,3,0.31,19,17,7,13,10,6
72,23,69,104,2,0.39,23,22,8,13,12,8
77,14,69,91,2,0.44,21,20,4,13,12,5
72,5,49,54,2,0.33,26,25,6,14,14,3
72,5,44,48,2,0.31,24,22,7,12,11,6
66,111,95,263,7,0.75,31,29,6,27,24,6
64,43,81,146,4,0.48,24,21,4,19,19,4
57,22,81,114,3,0.54,27,23,7,21,19,6
74,4,46,51,4,0.3,26,22,6,14,12,6
79,7,50,60,6,0.28,16,13,6,9,8,9
66,9,43,58,3,0.29,14,13,3,10,10,3
50,21,62,92,6,0.39,22,18,4,19,16,4
61,84,77,194,11,0.56,30,23,8,27,20,8
63,29,70,110,2,0.41,26,19,9,24,19,7
45,10,56,72,3,0.4,21,14,9,19,12,8
,,,,,,40,32,8,33,26,8
,,,,,,53,44,11,44,36,12
31,34,57,109,3,0.47,61,57,15,59,51,14
56,25,77,110,3,0.33,23,16,11,21,12,10
59,143,108,328,7,0.91,45,41,5,32,31,5
69,83,91,217,4,0.69,39,34,7,30,26,5
64,84,83,212,8,0.67,58,46,15,60,44,16
22,102,86,222,7,0.61,58,46,15,57,41,16
10,391,132,713,13,1.3,75,60,15,72,57,17
41,24,55,89,7,0.36,54,42,17,53,40,22
54,14,49,70,2,0.19,28,20,10,23,14,9
65,14,47,66,2,0.17,18,15,10,13,9,5
66,7,46,50,2,0.32,40,36,9,36,32,7
64,5,31,38,3,0.28,35,28,7,29,26,6
69,10,43,56,2,0.28,30,25,9,22,19,5
61,35,56,110,3,0.36,64,52,13,56,46,10
61,10,62,75,2,0.25,,,,23,18,8
59,22,76,109,3,0.33,36,32,6,21,20,6
71,17,55,81,3,0.29,29,23,6,17,14,5
80,132,106,308,9,0.9,54,45,9,47,38,9
61,323,125,620,14,1.5,,,,55,45,10
44,89,92,229,6,0.65,63,46,18,52,38,16
71,236,110,472,11,1,80,64,19,66,53,15
10,118,98,268,3,0.76,74,57,19,66,49,17
5,131,95,294,6,0.94,82,65,22,60,46,21
3,84,72,188,4,0.66,60,44,18,54,39,15
38,23,41,74,3,0.48,46,34,13,43,30,14
68,6,27,37,2,0.21,19,13,8,16,11,7
78,9,29,40,2,0.15,13,11,5,9,6,6
80,8,59,72,4,0.28,23,18,7,17,14,5
69,14,62,76,6,0.28,24,18,8,19,15,6
69,48,96,140,13,0.39,34,24,10,32,22,11
75,7,48,55,2,0.27,21,16,7,12,10,5
86,3,32,34,2,0.27,21,15,6,16,11,5
81,10,72,78,2,0.34,21,16,5,18,14,6
43,170,109,370,9,0.85,40,29,11,35,27,8
55,54,101,175,3,0.51,48,36,13,46,32,14
51,41,62,122,3,0.43,69,53,17,59,48,14
45,30,77,118,4,0.39,47,35,13,40,30,12
36,24,70,100,5,0.45,61,45,17,52,37,18
56,13,59,74,2,0.42,48,36,16,42,31,15
61,6,52,61,3,0.33,42,32,10,35,25,11
77,9,46,58,3,0.49,40,34,7,30,24,7
79,10,58,68,3,0.3,36,30,9,29,22,8
